path,agarose,bsa,timepoint_hr,capture_time,shot_order,gap_s,v_sticker,v_coating,v_bsa,v_agarose,v_control,v_tally,v_magnet,v_magnet_size,v_conf,v_notes
0.4 BACK/BSA /1 hr/PXL_20260827_120047147.jpg,0.4,BSA,1.0,2026-08-27 12:00:47.147,4,44.307,0.4 BSA COOH,COOH,True,0.4,False,1,present,large,high,
0.4 BACK/BSA /1 hr/PXL_20260827_120119038.jpg,0.4,BSA,1.0,2026-08-27 12:01:19.038,5,31.891,0.4 BSA COOH,COOH,True,0.4,False,2,present,large,high,
0.4 BACK/BSA /1 hr/PXL_20260827_120150138.jpg,0.4,BSA,1.0,2026-08-27 12:01:50.138,6,31.1,0.4 BSA COOH,COOH,True,0.4,False,3,present,large,high,"tally rows drawn tightly, initially resembled 2; confirmed 3 rows on zoom"
0.4 BACK/BSA /1 hr/PXL_20260827_122705761.jpg,0.4,BSA,1.0,2026-08-27 12:27:05.761,7,1515.623,0.4 BSA PEG,PEG,True,0.4,True,2,none,,high,
0.4 BACK/BSA /1 hr/PXL_20260827_122734968.jpg,0.4,BSA,1.0,2026-08-27 12:27:34.968,8,29.207,0.4 BSA PEG,PEG,True,0.4,True,1,none,,high,
0.4 BACK/BSA /1 hr/PXL_20260827_122744189.jpg,0.4,BSA,1.0,2026-08-27 12:27:44.189,9,9.221,0.4 BSA PEG,PEG,True,0.4,True,3,none,,high,
0.4 BACK/BSA /1 hr/PXL_20260827_122832842.jpg,0.4,BSA,1.0,2026-08-27 12:28:32.842,10,48.653,0.4 BSA COOH,COOH,True,0.4,True,1,none,,high,
0.4 BACK/BSA /1 hr/PXL_20260827_122843086.jpg,0.4,BSA,1.0,2026-08-27 12:28:43.086,11,10.244,0.4 BSA COOH,COOH,True,0.4,True,2,none,,high,
0.4 BACK/BSA /1 hr/PXL_20260827_122855242.jpg,0.4,BSA,1.0,2026-08-27 12:28:55.242,12,12.156,0.4 BSA COOH,COOH,True,0.4,True,3,none,,high,
0.4 BACK/BSA /2 hrs/PXL_20260827_130009858.jpg,0.4,BSA,2.0,2026-08-27 13:00:09.858,1,,0.4 BSA PEG,PEG,True,0.4,False,1,present,large,high,
0.4 BACK/BSA /2 hrs/PXL_20260827_130026427.jpg,0.4,BSA,2.0,2026-08-27 13:00:26.427,2,16.569,0.4 BSA PEG,PEG,True,0.4,False,2,present,large,high,
0.4 BACK/BSA /2 hrs/PXL_20260827_130038764.jpg,0.4,BSA,2.0,2026-08-27 13:00:38.764,3,12.337,0.4 BSA PEG,PEG,True,0.4,False,3,present,large,high,
0.4 BACK/BSA /2 hrs/PXL_20260827_130059098.jpg,0.4,BSA,2.0,2026-08-27 13:00:59.098,4,20.334,0.4 BSA COOH,COOH,True,0.4,False,1,present,large,high,
0.4 BACK/BSA /2 hrs/PXL_20260827_130150501.jpg,0.4,BSA,2.0,2026-08-27 13:01:50.501,5,51.403,0.4 BSA COOH,COOH,True,0.4,False,2,present,large,high,
0.4 BACK/BSA /2 hrs/PXL_20260827_130211361.jpg,0.4,BSA,2.0,2026-08-27 13:02:11.361,6,20.86,0.4 BSA COOH,COOH,True,0.4,False,3,present,large,high,
0.4 BACK/BSA /2 hrs/PXL_20260827_130921105.jpg,0.4,BSA,2.0,2026-08-27 13:09:21.105,7,429.744,0.4 BSA PEG,PEG,True,0.4,True,1,none,,high,
0.4 BACK/BSA /2 hrs/PXL_20260827_130934442.jpg,0.4,BSA,2.0,2026-08-27 13:09:34.442,8,13.337,0.4 BSA PEG,PEG,True,0.4,True,2,none,,high,
0.4 BACK/BSA /2 hrs/PXL_20260827_130947178.jpg,0.4,BSA,2.0,2026-08-27 13:09:47.178,9,12.736,0.4 BSA PEG,PEG,True,0.4,True,3,none,,high,
0.4 BACK/BSA /2 hrs/PXL_20260827_131022788.jpg,0.4,BSA,2.0,2026-08-27 13:10:22.788,10,35.61,0.4 BSA COOH,COOH,True,0.4,True,1,none,,high,
0.4 BACK/BSA /2 hrs/PXL_20260827_131053843.jpg,0.4,BSA,2.0,2026-08-27 13:10:53.843,11,31.055,0.4 BSA COOH,COOH,True,0.4,True,2,none,,high,
0.4 BACK/BSA /2 hrs/PXL_20260827_131108317.jpg,0.4,BSA,2.0,2026-08-27 13:11:08.317,12,14.474,0.4 BSA COOH,COOH,True,0.4,True,3,none,,high,
0.4 BACK/BSA /3 hrs/PXL_20260827_140036920.jpg,0.4,BSA,3.0,2026-08-27 14:00:36.920,1,,0.4 BSA PEG,PEG,True,0.4,False,1,present,large,high,
0.4 BACK/BSA /3 hrs/PXL_20260827_140103421.jpg,0.4,BSA,3.0,2026-08-27 14:01:03.421,2,26.501,0.4 BSA PEG,PEG,True,0.4,False,2,present,large,high,
0.4 BACK/BSA /3 hrs/PXL_20260827_140120698.jpg,0.4,BSA,3.0,2026-08-27 14:01:20.698,3,17.277,0.4 BSA PEG,PEG,True,0.4,False,3,present,large,high,
0.4 BACK/BSA /3 hrs/PXL_20260827_140201460.jpg,0.4,BSA,3.0,2026-08-27 14:02:01.460,4,40.762,0.4 BSA COOH,COOH,True,0.4,False,1,present,large,high,
0.4 BACK/BSA /3 hrs/PXL_20260827_140221550.jpg,0.4,BSA,3.0,2026-08-27 14:02:21.550,5,20.09,0.4 BSA COOH,COOH,True,0.4,False,2,present,large,high,
0.4 BACK/BSA /3 hrs/PXL_20260827_140239140.jpg,0.4,BSA,3.0,2026-08-27 14:02:39.140,6,17.59,0.4 BSA COOH,COOH,True,0.4,False,3,present,large,high,
0.4 BACK/BSA /3 hrs/PXL_20260827_141133525.jpg,0.4,BSA,3.0,2026-08-27 14:11:33.525,7,534.385,0.4 BSA PEG,PEG,True,0.4,True,1,none,,high,
0.4 BACK/BSA /3 hrs/PXL_20260827_141149845.jpg,0.4,BSA,3.0,2026-08-27 14:11:49.845,8,16.32,0.4 BSA PEG,PEG,True,0.4,True,2,none,,high,
0.4 BACK/BSA /3 hrs/PXL_20260827_141205431.jpg,0.4,BSA,3.0,2026-08-27 14:12:05.431,9,15.586,0.4 BSA PEG,PEG,True,0.4,True,3,none,,high,
0.4 BACK/BSA /3 hrs/PXL_20260827_141246717.jpg,0.4,BSA,3.0,2026-08-27 14:12:46.717,10,41.286,0.4 BSA COOH,COOH,True,0.4,True,1,none,,high,
0.4 BACK/BSA /3 hrs/PXL_20260827_141303064.jpg,0.4,BSA,3.0,2026-08-27 14:13:03.064,11,16.347,0.4 BSA COOH,COOH,True,0.4,True,2,none,,high,
0.4 BACK/BSA /3 hrs/PXL_20260827_141315863.jpg,0.4,BSA,3.0,2026-08-27 14:13:15.863,12,12.799,0.4 BSA COOH,COOH,True,0.4,True,3,none,,high,
0.4 BACK/BSA /4 hrs/PXL_20260827_150005371.jpg,0.4,BSA,4.0,2026-08-27 15:00:05.371,1,,0.4 BSA PEG,PEG,True,0.4,False,1,present,large,high,
0.4 BACK/BSA /4 hrs/PXL_20260827_150017709.jpg,0.4,BSA,4.0,2026-08-27 15:00:17.709,2,12.338,0.4 BSA PEG,PEG,True,0.4,False,2,present,large,high,
0.4 BACK/BSA /4 hrs/PXL_20260827_150028939.jpg,0.4,BSA,4.0,2026-08-27 15:00:28.939,3,11.23,0.4 BSA PEG,PEG,True,0.4,False,3,present,large,high,
0.4 BACK/BSA /4 hrs/PXL_20260827_150054406.jpg,0.4,BSA,4.0,2026-08-27 15:00:54.406,4,25.467,0.4 BSA COOH,COOH,True,0.4,False,1,present,large,high,
0.4 BACK/BSA /4 hrs/PXL_20260827_150105866.jpg,0.4,BSA,4.0,2026-08-27 15:01:05.866,5,11.46,0.4 BSA COOH,COOH,True,0.4,False,2,present,large,high,
0.4 BACK/BSA /4 hrs/PXL_20260827_150116480.jpg,0.4,BSA,4.0,2026-08-27 15:01:16.480,6,10.614,0.4 BSA COOH,COOH,True,0.4,False,3,present,large,high,
0.4 BACK/BSA /4 hrs/PXL_20260827_150811889.jpg,0.4,BSA,4.0,2026-08-27 15:08:11.889,7,415.409,0.4 BSA PEG,PEG,True,0.4,True,1,none,,high,
0.4 BACK/BSA /4 hrs/PXL_20260827_150838625.jpg,0.4,BSA,4.0,2026-08-27 15:08:38.625,8,26.736,0.4 BSA PEG,PEG,True,0.4,True,2,none,,high,
0.4 BACK/BSA /4 hrs/PXL_20260827_150920550.jpg,0.4,BSA,4.0,2026-08-27 15:09:20.550,9,41.925,0.4 BSA PEG,PEG,True,0.4,True,3,none,,high,
0.4 BACK/BSA /4 hrs/PXL_20260827_151033662.jpg,0.4,BSA,4.0,2026-08-27 15:10:33.662,10,73.112,0.4 BSA COOH,COOH,True,0.4,True,1,none,,high,
0.4 BACK/BSA /4 hrs/PXL_20260827_151051580.jpg,0.4,BSA,4.0,2026-08-27 15:10:51.580,11,17.918,0.4 BSA COOH,COOH,True,0.4,True,2,none,,high,
0.4 BACK/BSA /4 hrs/PXL_20260827_151124234.jpg,0.4,BSA,4.0,2026-08-27 15:11:24.234,12,32.654,0.4 BSA COOH,COOH,True,0.4,True,3,none,,high,
0.4 BACK/BSA /5 hrs/PXL_20260827_160008770.jpg,0.4,BSA,5.0,2026-08-27 16:00:08.770,1,,0.4 BSA PEG,PEG,True,0.4,False,1,present,large,high,
0.4 BACK/BSA /5 hrs/PXL_20260827_160047730.jpg,0.4,BSA,5.0,2026-08-27 16:00:47.730,2,38.96,0.4 BSA PEG,PEG,True,0.4,False,2,present,large,high,
0.4 BACK/BSA /5 hrs/PXL_20260827_160135824.jpg,0.4,BSA,5.0,2026-08-27 16:01:35.824,3,48.094,0.4 BSA PEG,PEG,True,0.4,False,3,present,large,high,
0.4 BACK/BSA /5 hrs/PXL_20260827_160210863.jpg,0.4,BSA,5.0,2026-08-27 16:02:10.863,4,35.039,0.4 BSA COOH,COOH,True,0.4,False,1,present,large,high,
0.4 BACK/BSA /5 hrs/PXL_20260827_160230062.jpg,0.4,BSA,5.0,2026-08-27 16:02:30.062,5,19.199,0.4 BSA COOH,COOH,True,0.4,False,2,present,large,high,
0.4 BACK/BSA /5 hrs/PXL_20260827_160253514.jpg,0.4,BSA,5.0,2026-08-27 16:02:53.514,6,23.452,0.4 BSA COOH,COOH,True,0.4,False,3,present,large,high,
0.4 BACK/BSA /5 hrs/PXL_20260827_161220882.jpg,0.4,BSA,5.0,2026-08-27 16:12:20.882,7,567.368,0.4 BSA PEG,PEG,True,0.4,True,1,none,,high,
0.4 BACK/BSA /5 hrs/PXL_20260827_161235718.jpg,0.4,BSA,5.0,2026-08-27 16:12:35.718,8,14.836,0.4 BSA PEG,PEG,True,0.4,True,2,none,,high,
0.4 BACK/BSA /5 hrs/PXL_20260827_161250168.jpg,0.4,BSA,5.0,2026-08-27 16:12:50.168,9,14.45,0.4 BSA PEG,PEG,True,0.4,True,3,none,,high,
0.4 BACK/BSA /5 hrs/PXL_20260827_161439934.jpg,0.4,BSA,5.0,2026-08-27 16:14:39.934,10,109.766,0.4 BSA COOH,COOH,True,0.4,True,3,none,,high,
0.4 BACK/BSA /5 hrs/PXL_20260827_161450929.jpg,0.4,BSA,5.0,2026-08-27 16:14:50.929,11,10.995,0.4 BSA COOH,COOH,True,0.4,True,3,none,,high,near-duplicate framing of 0074
0.4 BACK/BSA /5 hrs/PXL_20260827_161508070.jpg,0.4,BSA,5.0,2026-08-27 16:15:08.070,12,17.141,0.4 BSA COOH,COOH,True,0.4,True,1,none,,high,
0.4 BACK/BSA /6 hrs/PXL_20260827_170007538.jpg,0.4,BSA,6.0,2026-08-27 17:00:07.538,1,,0.4 BSA PEG,PEG,True,0.4,False,1,present,large,high,
0.4 BACK/BSA /6 hrs/PXL_20260827_170018323.jpg,0.4,BSA,6.0,2026-08-27 17:00:18.323,2,10.785,0.4 BSA PEG,PEG,True,0.4,False,2,present,large,high,
0.4 BACK/BSA /6 hrs/PXL_20260827_170030841.jpg,0.4,BSA,6.0,2026-08-27 17:00:30.841,3,12.518,0.4 BSA PEG,PEG,True,0.4,False,2,present,large,high,near-duplicate framing of 0078
0.4 BACK/BSA /6 hrs/PXL_20260827_170107004.jpg,0.4,BSA,6.0,2026-08-27 17:01:07.004,4,36.163,0.4 BSA COOH,COOH,True,0.4,False,1,present,large,high,
0.4 BACK/BSA /6 hrs/PXL_20260827_170125897.jpg,0.4,BSA,6.0,2026-08-27 17:01:25.897,5,18.893,0.4 BSA COOH,COOH,True,0.4,False,2,present,large,high,
0.4 BACK/BSA /6 hrs/PXL_20260827_170145687.jpg,0.4,BSA,6.0,2026-08-27 17:01:45.687,6,19.79,0.4 BSA COOH,COOH,True,0.4,False,3,present,large,high,
0.4 BACK/BSA /6 hrs/PXL_20260827_170935647.jpg,0.4,BSA,6.0,2026-08-27 17:09:35.647,7,469.96,0.4 BSA PEG,PEG,True,0.4,True,1,none,,high,
0.4 BACK/BSA /6 hrs/PXL_20260827_170948030.jpg,0.4,BSA,6.0,2026-08-27 17:09:48.030,8,12.383,0.4 BSA PEG,PEG,True,0.4,True,2,none,,high,
0.4 BACK/BSA /6 hrs/PXL_20260827_171001972.jpg,0.4,BSA,6.0,2026-08-27 17:10:01.972,9,13.942,0.4 BSA PEG,PEG,True,0.4,True,3,none,,high,
0.4 BACK/BSA /6 hrs/PXL_20260827_171142647.jpg,0.4,BSA,6.0,2026-08-27 17:11:42.647,10,100.675,0.4 BSA COOH,COOH,True,0.4,True,1,none,,high,
0.4 BACK/BSA /6 hrs/PXL_20260827_171208934.jpg,0.4,BSA,6.0,2026-08-27 17:12:08.934,11,26.287,0.4 BSA COOH,COOH,True,0.4,True,2,none,,high,
0.4 BACK/BSA /6 hrs/PXL_20260827_171225691.jpg,0.4,BSA,6.0,2026-08-27 17:12:25.691,12,16.757,0.4 BSA COOH,COOH,True,0.4,True,3,none,,high,
0.4 BACK/BSA /7.5 hrs/PXL_20260827_183335799.jpg,0.4,BSA,7.5,2026-08-27 18:33:35.799,1,,0.4 BSA PEG,PEG,True,0.4,False,1,present,large,high,
0.4 BACK/BSA /7.5 hrs/PXL_20260827_183350966.jpg,0.4,BSA,7.5,2026-08-27 18:33:50.966,2,15.167,0.4 BSA PEG,PEG,True,0.4,False,2,present,large,high,
0.4 BACK/BSA /7.5 hrs/PXL_20260827_183407031.jpg,0.4,BSA,7.5,2026-08-27 18:34:07.031,3,16.065,0.4 BSA PEG,PEG,True,0.4,False,2,present,large,high,
0.4 BACK/BSA /7.5 hrs/PXL_20260827_183425721.jpg,0.4,BSA,7.5,2026-08-27 18:34:25.721,4,18.69,0.4 BSA COOH,COOH,True,0.4,False,1,present,large,high,
0.4 BACK/BSA /7.5 hrs/PXL_20260827_183440589.jpg,0.4,BSA,7.5,2026-08-27 18:34:40.589,5,14.868,0.4 BSA COOH,COOH,True,0.4,False,2,present,large,high,
0.4 BACK/BSA /7.5 hrs/PXL_20260827_183456913.jpg,0.4,BSA,7.5,2026-08-27 18:34:56.913,6,16.324,0.4 BSA COOH,COOH,True,0.4,False,2,present,large,high,
0.4 BACK/BSA /7.5 hrs/PXL_20260827_184337899.jpg,0.4,BSA,7.5,2026-08-27 18:43:37.899,7,520.986,0.4 BSA PEG,PEG,True,0.4,True,1,none,,high,"PEG cut off in crop, confirmed via frame"
0.4 BACK/BSA /7.5 hrs/PXL_20260827_184408057.jpg,0.4,BSA,7.5,2026-08-27 18:44:08.057,8,30.158,0.4 BSA PEG,PEG,True,0.4,True,2,none,,high,
0.4 BACK/BSA /7.5 hrs/PXL_20260827_184435496.jpg,0.4,BSA,7.5,2026-08-27 18:44:35.496,9,27.439,0.4 BSA PEG,PEG,True,0.4,True,3,none,,high,
0.4 BACK/BSA /7.5 hrs/PXL_20260827_184537917.jpg,0.4,BSA,7.5,2026-08-27 18:45:37.917,10,62.421,0.4 BSA COOH,COOH,True,0.4,True,1,none,,high,
0.4 BACK/BSA /7.5 hrs/PXL_20260827_184558349.jpg,0.4,BSA,7.5,2026-08-27 18:45:58.349,11,20.432,0.4 BSA COOH,COOH,True,0.4,True,2,none,,high,
0.4 BACK/BSA /7.5 hrs/PXL_20260827_184632327.jpg,0.4,BSA,7.5,2026-08-27 18:46:32.327,12,33.978,0.4 BSA COOH,COOH,True,0.4,True,3,none,,high,
0.4 BACK/BSA /9 hrs/PXL_20260827_200152931.jpg,0.4,BSA,9.0,2026-08-27 20:01:52.931,1,,0.4 BSA PEG,PEG,True,0.4,False,1,present,large,high,
0.4 BACK/BSA /9 hrs/PXL_20260827_200201908.jpg,0.4,BSA,9.0,2026-08-27 20:02:01.908,2,8.977,0.4 BSA PEG,PEG,True,0.4,False,1,present,large,high,"tighter zoom crop, sticker partially cut off but legible"
0.4 BACK/BSA /9 hrs/PXL_20260827_200214496.jpg,0.4,BSA,9.0,2026-08-27 20:02:14.496,3,12.588,0.4 PEG,PEG,False,0.4,False,3,present,large,low,"sticker in black marker, top cropped/rotated in frame; no BSA text visible (distinct from BSA+PEG group)"
0.4 BACK/BSA /9 hrs/PXL_20260827_200238921.jpg,0.4,BSA,9.0,2026-08-27 20:02:38.921,4,24.425,0.4 BSA COOH,COOH,True,0.4,False,1,present,large,high,
0.4 BACK/BSA /9 hrs/PXL_20260827_200252970.jpg,0.4,BSA,9.0,2026-08-27 20:02:52.970,5,14.049,0.4 BSA COOH,COOH,True,0.4,False,2,present,large,high,
0.4 BACK/BSA /9 hrs/PXL_20260827_200304333.jpg,0.4,BSA,9.0,2026-08-27 20:03:04.333,6,11.363,0.4 BSA COOH,COOH,True,0.4,False,3,present,large,high,
0.4 BACK/BSA /9 hrs/PXL_20260827_201024422.jpg,0.4,BSA,9.0,2026-08-27 20:10:24.422,7,440.089,0.4 BSA PEG,PEG,True,0.4,True,1,none,,high,duplicate photo of same tab as 0096
0.4 BACK/BSA /9 hrs/PXL_20260827_201054033.jpg,0.4,BSA,9.0,2026-08-27 20:10:54.033,8,29.611,0.4 BSA PEG,PEG,True,0.4,True,2,none,,high,duplicate photo of same tab as 0097
0.4 BACK/BSA /9 hrs/PXL_20260827_201108212.jpg,0.4,BSA,9.0,2026-08-27 20:11:08.212,9,14.179,0.4 BSA PEG,PEG,True,0.4,True,3,none,,high,duplicate photo of same tab as 0098
0.4 BACK/BSA /9 hrs/PXL_20260827_201144268.jpg,0.4,BSA,9.0,2026-08-27 20:11:44.268,10,36.056,0.4 BSA COOH,COOH,True,0.4,True,1,none,,high,duplicate photo of same tab as 0099
0.4 BACK/BSA /9 hrs/PXL_20260827_201201700.jpg,0.4,BSA,9.0,2026-08-27 20:12:01.700,11,17.432,0.4 BSA COOH,COOH,True,0.4,True,2,none,,high,duplicate photo of same tab as 0100
0.4 BACK/BSA /9 hrs/PXL_20260827_201218730.jpg,0.4,BSA,9.0,2026-08-27 20:12:18.730,12,17.03,0.4 BSA COOH,COOH,True,0.4,True,3,none,,high,duplicate photo of same tab as 0101
0.4 BACK/BSA /10.5 hrs/PXL_20260827_213045960.jpg,0.4,BSA,10.5,2026-08-27 21:30:45.960,1,,0.4 BSA PEG,PEG,True,0.4,False,1,present,large,high,
0.4 BACK/BSA /10.5 hrs/PXL_20260827_213055749.jpg,0.4,BSA,10.5,2026-08-27 21:30:55.749,2,9.789,0.4 BSA PEG,PEG,True,0.4,False,2,present,large,high,
0.4 BACK/BSA /10.5 hrs/PXL_20260827_213105102.jpg,0.4,BSA,10.5,2026-08-27 21:31:05.102,3,9.353,0.4 BSA PEG,PEG,True,0.4,False,3,present,large,high,
0.4 BACK/BSA /10.5 hrs/PXL_20260827_213124369.jpg,0.4,BSA,10.5,2026-08-27 21:31:24.369,4,19.267,0.4 BSA COOH,COOH,True,0.4,False,1,present,large,high,
0.4 BACK/BSA /10.5 hrs/PXL_20260827_213138382.jpg,0.4,BSA,10.5,2026-08-27 21:31:38.382,5,14.013,0.4 BSA COOH,COOH,True,0.4,False,2,present,large,high,
0.4 BACK/BSA /10.5 hrs/PXL_20260827_213150381.jpg,0.4,BSA,10.5,2026-08-27 21:31:50.381,6,11.999,0.4 BSA COOH,COOH,True,0.4,False,3,present,large,high,
0.4 BACK/BSA /10.5 hrs/PXL_20260827_213914517.jpg,0.4,BSA,10.5,2026-08-27 21:39:14.517,7,444.136,0.4 BSA PEG,PEG,True,0.4,True,1,none,,high,
0.4 BACK/BSA /10.5 hrs/PXL_20260827_213937518.jpg,0.4,BSA,10.5,2026-08-27 21:39:37.518,8,23.001,0.4 BSA PEG,PEG,True,0.4,True,3,none,,low,tally mark stylized/merged into '3' shape; leaning 3 but could be 2
0.4 BACK/BSA /10.5 hrs/PXL_20260827_214001661.jpg,0.4,BSA,10.5,2026-08-27 21:40:01.661,9,24.143,0.4 BSA PEG,PEG,True,0.4,True,3,none,,high,
0.4 BACK/BSA /10.5 hrs/PXL_20260827_214113836.jpg,0.4,BSA,10.5,2026-08-27 21:41:13.836,10,72.175,0.4 BSA COOH,COOH,True,0.4,True,1,none,,high,
0.4 BACK/BSA /10.5 hrs/PXL_20260827_214122429.jpg,0.4,BSA,10.5,2026-08-27 21:41:22.429,11,8.593,0.4 BSA COOH,COOH,True,0.4,True,3,none,,low,tally rows merged in cursive '3' shape; possible 2 vs 3
0.4 BACK/BSA /10.5 hrs/PXL_20260827_214140704.jpg,0.4,BSA,10.5,2026-08-27 21:41:40.704,12,18.275,0.4 BSA COOH,COOH,True,0.4,True,2,none,,high,
0.4 BACK/BSA /12 hrs/PXL_20260827_225111295.jpg,0.4,BSA,12.0,2026-08-27 22:51:11.295,1,,0.4 BSA PEG,PEG,True,0.4,False,1,present,large,high,
0.4 BACK/BSA /12 hrs/PXL_20260827_225128130.jpg,0.4,BSA,12.0,2026-08-27 22:51:28.130,2,16.835,0.4 BSA PEG,PEG,True,0.4,False,2,present,large,high,
0.4 BACK/BSA /12 hrs/PXL_20260827_225136462.jpg,0.4,BSA,12.0,2026-08-27 22:51:36.462,3,8.332,0.4 BSA PEG,PEG,True,0.4,False,3,present,large,high,
0.4 BACK/BSA /12 hrs/PXL_20260827_225207698.jpg,0.4,BSA,12.0,2026-08-27 22:52:07.698,4,31.236,0.4 BSA COOH,COOH,True,0.4,False,1,present,large,high,
0.4 BACK/BSA /12 hrs/PXL_20260827_225223463.jpg,0.4,BSA,12.0,2026-08-27 22:52:23.463,5,15.765,0.4 BSA COOH,COOH,True,0.4,False,2,present,large,high,
0.4 BACK/BSA /12 hrs/PXL_20260827_225241172.jpg,0.4,BSA,12.0,2026-08-27 22:52:41.172,6,17.709,0.4 BSA COOH,COOH,True,0.4,False,3,present,large,high,
0.4 BACK/BSA /12 hrs/PXL_20260827_230158577.jpg,0.4,BSA,12.0,2026-08-27 23:01:58.577,7,557.405,0.4 BSA PEG,PEG,True,0.4,True,1,none,,high,
0.4 BACK/BSA /12 hrs/PXL_20260827_230218470.jpg,0.4,BSA,12.0,2026-08-27 23:02:18.470,8,19.893,0.4 BSA PEG,PEG,True,0.4,True,2,none,,high,
0.4 BACK/BSA /12 hrs/PXL_20260827_230236136.jpg,0.4,BSA,12.0,2026-08-27 23:02:36.136,9,17.666,0.4 BSA PEG,PEG,True,0.4,True,3,none,,high,
0.4 BACK/BSA /12 hrs/PXL_20260827_230436274.jpg,0.4,BSA,12.0,2026-08-27 23:04:36.274,10,120.138,0.4 BSA COOH,COOH,True,0.4,True,1,none,,high,
