path,agarose,bsa,timepoint_hr,capture_time,shot_order,gap_s,v_sticker,v_coating,v_bsa,v_agarose,v_control,v_tally,v_magnet,v_magnet_size,v_conf,v_notes,idx,dropped_dup,agarose_f,bsa_f,coating_f,control_f,magnet_f,tally_f,duplicate_shot,tally_certainty,tally_changed,gap,burst,tally_conflict,low_conf,arm,series
0.4 BACK/BSA /0 hrs/PXL_20260827_110330217.jpg,0.4,BSA,0.0,2026-08-27 11:03:30.217,11,23.775,0.4 BSA COOH,COOH,True,0.4,False,3,none,,high,,10,False,0.4,BSA,COOH,False,none,3,False,high,False,23.775,1,False,False,magnet,0.4_BSA_COOH_magnet_r3
0.4 BACK/BSA /0 hrs/PXL_20260827_110342332.jpg,0.4,BSA,0.0,2026-08-27 11:03:42.332,12,12.115,0.4 BSA COOH,COOH,True,0.4,False,3,present,large,high,,11,False,0.4,BSA,COOH,False,present,3,False,high,False,12.115,1,False,False,magnet,0.4_BSA_COOH_magnet_r3
0.4 BACK/BSA /0 hrs/PXL_20260827_111857577.jpg,0.4,BSA,0.0,2026-08-27 11:18:57.577,13,915.245,0.4 BSA PEG,PEG,True,0.4,True,1,none,,high,,12,False,0.4,BSA,PEG,True,none,1,False,high,False,915.245,2,False,False,control,0.4_BSA_PEG_control_r1
0.4 BACK/BSA /0 hrs/PXL_20260827_111911378.jpg,0.4,BSA,0.0,2026-08-27 11:19:11.378,14,13.801,0.4 BSA PEG,PEG,True,0.4,True,2,none,,high,"tally rows drawn tightly with vertical tie-strokes, initially resembled 3; confirmed 2 rows on zoom",13,False,0.4,BSA,PEG,True,none,2,False,high,False,13.801,2,False,False,control,0.4_BSA_PEG_control_r2
0.4 BACK/BSA /0 hrs/PXL_20260827_111922134.jpg,0.4,BSA,0.0,2026-08-27 11:19:22.134,15,10.756,0.4 BSA PEG,PEG,True,0.4,True,3,none,,high,,14,False,0.4,BSA,PEG,True,none,3,False,high,False,10.756,2,False,False,control,0.4_BSA_PEG_control_r3
0.4 BACK/BSA /0 hrs/PXL_20260827_111958369.jpg,0.4,BSA,0.0,2026-08-27 11:19:58.369,16,36.235,0.4 BSA COOH,COOH,True,0.4,True,1,none,,high,,15,False,0.4,BSA,COOH,True,none,1,False,high,False,36.235,2,False,False,control,0.4_BSA_COOH_control_r1
0.4 BACK/BSA /0 hrs/PXL_20260827_112010799.jpg,0.4,BSA,0.0,2026-08-27 11:20:10.799,17,12.43,0.4 BSA COOH,COOH,True,0.4,True,2,none,,high,"tally rows drawn tightly with vertical tie-strokes, initially resembled 3; confirmed 2 rows on zoom",16,False,0.4,BSA,COOH,True,none,2,False,high,False,12.43,2,False,False,control,0.4_BSA_COOH_control_r2
0.4 BACK/BSA /0 hrs/PXL_20260827_112023671.jpg,0.4,BSA,0.0,2026-08-27 11:20:23.671,18,12.872,0.4 BSA COOH,COOH,True,0.4,True,3,none,,high,,17,False,0.4,BSA,COOH,True,none,3,False,high,False,12.872,2,False,False,control,0.4_BSA_COOH_control_r3
0.4 BACK/BSA /1 hr/PXL_20260827_115925184.jpg,0.4,BSA,1.0,2026-08-27 11:59:25.184,1,,0.4 BSA PEG,PEG,True,0.4,False,1,present,large,high,,18,False,0.4,BSA,PEG,False,present,1,False,high,False,,1,False,False,magnet,0.4_BSA_PEG_magnet_r1
0.4 BACK/BSA /1 hr/PXL_20260827_115945016.jpg,0.4,BSA,1.0,2026-08-27 11:59:45.016,2,19.832,0.4 BSA PEG,PEG,True,0.4,False,2,present,large,high,,19,False,0.4,BSA,PEG,False,present,2,False,high,False,19.832,1,False,False,magnet,0.4_BSA_PEG_magnet_r2
0.4 BACK/BSA /1 hr/PXL_20260827_120002840.jpg,0.4,BSA,1.0,2026-08-27 12:00:02.840,3,17.824,0.4 BSA PEG,PEG,True,0.4,False,3,present,large,high,,20,False,0.4,BSA,PEG,False,present,3,False,high,False,17.824,1,False,False,magnet,0.4_BSA_PEG_magnet_r3
0.4 BACK/BSA /1 hr/PXL_20260827_120047147.jpg,0.4,BSA,1.0,2026-08-27 12:00:47.147,4,44.307,0.4 BSA COOH,COOH,True,0.4,False,1,present,large,high,,21,False,0.4,BSA,COOH,False,present,1,False,high,False,44.307,1,False,False,magnet,0.4_BSA_COOH_magnet_r1
0.4 BACK/BSA /1 hr/PXL_20260827_120119038.jpg,0.4,BSA,1.0,2026-08-27 12:01:19.038,5,31.891,0.4 BSA COOH,COOH,True,0.4,False,2,present,large,high,,22,False,0.4,BSA,COOH,False,present,2,False,high,False,31.891,1,False,False,magnet,0.4_BSA_COOH_magnet_r2
0.4 BACK/BSA /1 hr/PXL_20260827_120150138.jpg,0.4,BSA,1.0,2026-08-27 12:01:50.138,6,31.1,0.4 BSA COOH,COOH,True,0.4,False,3,present,large,high,"tally rows drawn tightly, initially resembled 2; confirmed 3 rows on zoom",23,False,0.4,BSA,COOH,False,present,3,False,high,False,31.1,1,False,False,magnet,0.4_BSA_COOH_magnet_r3
0.4 BACK/BSA /1 hr/PXL_20260827_122705761.jpg,0.4,BSA,1.0,2026-08-27 12:27:05.761,7,1515.623,0.4 BSA PEG,PEG,True,0.4,True,2,none,,high,,24,False,0.4,BSA,PEG,True,none,2,False,high,False,1515.623,2,False,False,control,0.4_BSA_PEG_control_r2
0.4 BACK/BSA /1 hr/PXL_20260827_122734968.jpg,0.4,BSA,1.0,2026-08-27 12:27:34.968,8,29.207,0.4 BSA PEG,PEG,True,0.4,True,1,none,,high,,25,False,0.4,BSA,PEG,True,none,1,False,high,False,29.207,2,False,False,control,0.4_BSA_PEG_control_r1
0.4 BACK/BSA /1 hr/PXL_20260827_122744189.jpg,0.4,BSA,1.0,2026-08-27 12:27:44.189,9,9.221,0.4 BSA PEG,PEG,True,0.4,True,3,none,,high,,26,False,0.4,BSA,PEG,True,none,3,False,high,False,9.221,2,False,False,control,0.4_BSA_PEG_control_r3
0.4 BACK/BSA /1 hr/PXL_20260827_122832842.jpg,0.4,BSA,1.0,2026-08-27 12:28:32.842,10,48.653,0.4 BSA COOH,COOH,True,0.4,True,1,none,,high,,27,False,0.4,BSA,COOH,True,none,1,False,high,False,48.653,2,False,False,control,0.4_BSA_COOH_control_r1
0.4 BACK/BSA /1 hr/PXL_20260827_122843086.jpg,0.4,BSA,1.0,2026-08-27 12:28:43.086,11,10.244,0.4 BSA COOH,COOH,True,0.4,True,2,none,,high,,28,False,0.4,BSA,COOH,True,none,2,False,high,False,10.244,2,False,False,control,0.4_BSA_COOH_control_r2
0.4 BACK/BSA /1 hr/PXL_20260827_122855242.jpg,0.4,BSA,1.0,2026-08-27 12:28:55.242,12,12.156,0.4 BSA COOH,COOH,True,0.4,True,3,none,,high,,29,False,0.4,BSA,COOH,True,none,3,False,high,False,12.156,2,False,False,control,0.4_BSA_COOH_control_r3
0.4 BACK/BSA /2 hrs/PXL_20260827_130009858.jpg,0.4,BSA,2.0,2026-08-27 13:00:09.858,1,,0.4 BSA PEG,PEG,True,0.4,False,1,present,large,high,,30,False,0.4,BSA,PEG,False,present,1,False,high,False,,1,False,False,magnet,0.4_BSA_PEG_magnet_r1
0.4 BACK/BSA /2 hrs/PXL_20260827_130026427.jpg,0.4,BSA,2.0,2026-08-27 13:00:26.427,2,16.569,0.4 BSA PEG,PEG,True,0.4,False,2,present,large,high,,31,False,0.4,BSA,PEG,False,present,2,False,high,False,16.569,1,False,False,magnet,0.4_BSA_PEG_magnet_r2
0.4 BACK/BSA /2 hrs/PXL_20260827_130038764.jpg,0.4,BSA,2.0,2026-08-27 13:00:38.764,3,12.337,0.4 BSA PEG,PEG,True,0.4,False,3,present,large,high,,32,False,0.4,BSA,PEG,False,present,3,False,high,False,12.337,1,False,False,magnet,0.4_BSA_PEG_magnet_r3
0.4 BACK/BSA /2 hrs/PXL_20260827_130059098.jpg,0.4,BSA,2.0,2026-08-27 13:00:59.098,4,20.334,0.4 BSA COOH,COOH,True,0.4,False,1,present,large,high,,33,False,0.4,BSA,COOH,False,present,1,False,high,False,20.334,1,False,False,magnet,0.4_BSA_COOH_magnet_r1
0.4 BACK/BSA /2 hrs/PXL_20260827_130150501.jpg,0.4,BSA,2.0,2026-08-27 13:01:50.501,5,51.403,0.4 BSA COOH,COOH,True,0.4,False,2,present,large,high,,34,False,0.4,BSA,COOH,False,present,2,False,high,False,51.403,1,False,False,magnet,0.4_BSA_COOH_magnet_r2
0.4 BACK/BSA /2 hrs/PXL_20260827_130211361.jpg,0.4,BSA,2.0,2026-08-27 13:02:11.361,6,20.86,0.4 BSA COOH,COOH,True,0.4,False,3,present,large,high,,35,False,0.4,BSA,COOH,False,present,3,False,high,False,20.86,1,False,False,magnet,0.4_BSA_COOH_magnet_r3
0.4 BACK/BSA /2 hrs/PXL_20260827_130921105.jpg,0.4,BSA,2.0,2026-08-27 13:09:21.105,7,429.744,0.4 BSA PEG,PEG,True,0.4,True,1,none,,high,,36,False,0.4,BSA,PEG,True,none,1,False,high,False,429.744,2,False,False,control,0.4_BSA_PEG_control_r1
0.4 BACK/BSA /2 hrs/PXL_20260827_130934442.jpg,0.4,BSA,2.0,2026-08-27 13:09:34.442,8,13.337,0.4 BSA PEG,PEG,True,0.4,True,2,none,,high,,37,False,0.4,BSA,PEG,True,none,2,False,high,False,13.337,2,False,False,control,0.4_BSA_PEG_control_r2
0.4 BACK/BSA /2 hrs/PXL_20260827_130947178.jpg,0.4,BSA,2.0,2026-08-27 13:09:47.178,9,12.736,0.4 BSA PEG,PEG,True,0.4,True,3,none,,high,,38,False,0.4,BSA,PEG,True,none,3,False,high,False,12.736,2,False,False,control,0.4_BSA_PEG_control_r3
0.4 BACK/BSA /2 hrs/PXL_20260827_131022788.jpg,0.4,BSA,2.0,2026-08-27 13:10:22.788,10,35.61,0.4 BSA COOH,COOH,True,0.4,True,1,none,,high,,39,False,0.4,BSA,COOH,True,none,1,False,high,False,35.61,2,False,False,control,0.4_BSA_COOH_control_r1
0.4 BACK/BSA /2 hrs/PXL_20260827_131053843.jpg,0.4,BSA,2.0,2026-08-27 13:10:53.843,11,31.055,0.4 BSA COOH,COOH,True,0.4,True,2,none,,high,,40,False,0.4,BSA,COOH,True,none,2,False,high,False,31.055,2,False,False,control,0.4_BSA_COOH_control_r2
0.4 BACK/BSA /2 hrs/PXL_20260827_131108317.jpg,0.4,BSA,2.0,2026-08-27 13:11:08.317,12,14.474,0.4 BSA COOH,COOH,True,0.4,True,3,none,,high,,41,False,0.4,BSA,COOH,True,none,3,False,high,False,14.474,2,False,False,control,0.4_BSA_COOH_control_r3
0.4 BACK/BSA /3 hrs/PXL_20260827_140036920.jpg,0.4,BSA,3.0,2026-08-27 14:00:36.920,1,,0.4 BSA PEG,PEG,True,0.4,False,1,present,large,high,,42,False,0.4,BSA,PEG,False,present,1,False,high,False,,1,False,False,magnet,0.4_BSA_PEG_magnet_r1
0.4 BACK/BSA /3 hrs/PXL_20260827_140103421.jpg,0.4,BSA,3.0,2026-08-27 14:01:03.421,2,26.501,0.4 BSA PEG,PEG,True,0.4,False,2,present,large,high,,43,False,0.4,BSA,PEG,False,present,2,False,high,False,26.501,1,False,False,magnet,0.4_BSA_PEG_magnet_r2
0.4 BACK/BSA /3 hrs/PXL_20260827_140120698.jpg,0.4,BSA,3.0,2026-08-27 14:01:20.698,3,17.277,0.4 BSA PEG,PEG,True,0.4,False,3,present,large,high,,44,False,0.4,BSA,PEG,False,present,3,False,high,False,17.277,1,False,False,magnet,0.4_BSA_PEG_magnet_r3
0.4 BACK/BSA /3 hrs/PXL_20260827_140201460.jpg,0.4,BSA,3.0,2026-08-27 14:02:01.460,4,40.762,0.4 BSA COOH,COOH,True,0.4,False,1,present,large,high,,45,False,0.4,BSA,COOH,False,present,1,False,high,False,40.762,1,False,False,magnet,0.4_BSA_COOH_magnet_r1
0.4 BACK/BSA /3 hrs/PXL_20260827_140221550.jpg,0.4,BSA,3.0,2026-08-27 14:02:21.550,5,20.09,0.4 BSA COOH,COOH,True,0.4,False,2,present,large,high,,46,False,0.4,BSA,COOH,False,present,2,False,high,False,20.09,1,False,False,magnet,0.4_BSA_COOH_magnet_r2
0.4 BACK/BSA /3 hrs/PXL_20260827_140239140.jpg,0.4,BSA,3.0,2026-08-27 14:02:39.140,6,17.59,0.4 BSA COOH,COOH,True,0.4,False,3,present,large,high,,47,False,0.4,BSA,COOH,False,present,3,False,high,False,17.59,1,False,False,magnet,0.4_BSA_COOH_magnet_r3
0.4 BACK/BSA /3 hrs/PXL_20260827_141133525.jpg,0.4,BSA,3.0,2026-08-27 14:11:33.525,7,534.385,0.4 BSA PEG,PEG,True,0.4,True,1,none,,high,,48,False,0.4,BSA,PEG,True,none,1,False,high,False,534.385,2,False,False,control,0.4_BSA_PEG_control_r1
0.4 BACK/BSA /3 hrs/PXL_20260827_141149845.jpg,0.4,BSA,3.0,2026-08-27 14:11:49.845,8,16.32,0.4 BSA PEG,PEG,True,0.4,True,2,none,,high,,49,False,0.4,BSA,PEG,True,none,2,False,high,False,16.32,2,False,False,control,0.4_BSA_PEG_control_r2
0.4 BACK/BSA /3 hrs/PXL_20260827_141205431.jpg,0.4,BSA,3.0,2026-08-27 14:12:05.431,9,15.586,0.4 BSA PEG,PEG,True,0.4,True,3,none,,high,,50,False,0.4,BSA,PEG,True,none,3,False,high,False,15.586,2,False,False,control,0.4_BSA_PEG_control_r3
0.4 BACK/BSA /3 hrs/PXL_20260827_141246717.jpg,0.4,BSA,3.0,2026-08-27 14:12:46.717,10,41.286,0.4 BSA COOH,COOH,True,0.4,True,1,none,,high,,51,False,0.4,BSA,COOH,True,none,1,False,high,False,41.286,2,False,False,control,0.4_BSA_COOH_control_r1
0.4 BACK/BSA /3 hrs/PXL_20260827_141303064.jpg,0.4,BSA,3.0,2026-08-27 14:13:03.064,11,16.347,0.4 BSA COOH,COOH,True,0.4,True,2,none,,high,,52,False,0.4,BSA,COOH,True,none,2,False,high,False,16.347,2,False,False,control,0.4_BSA_COOH_control_r2
0.4 BACK/BSA /3 hrs/PXL_20260827_141315863.jpg,0.4,BSA,3.0,2026-08-27 14:13:15.863,12,12.799,0.4 BSA COOH,COOH,True,0.4,True,3,none,,high,,53,False,0.4,BSA,COOH,True,none,3,False,high,False,12.799,2,False,False,control,0.4_BSA_COOH_control_r3
0.4 BACK/BSA /4 hrs/PXL_20260827_150005371.jpg,0.4,BSA,4.0,2026-08-27 15:00:05.371,1,,0.4 BSA PEG,PEG,True,0.4,False,1,present,large,high,,54,False,0.4,BSA,PEG,False,present,1,False,high,False,,1,False,False,magnet,0.4_BSA_PEG_magnet_r1
0.4 BACK/BSA /4 hrs/PXL_20260827_150017709.jpg,0.4,BSA,4.0,2026-08-27 15:00:17.709,2,12.338,0.4 BSA PEG,PEG,True,0.4,False,2,present,large,high,,55,False,0.4,BSA,PEG,False,present,2,False,high,False,12.338,1,False,False,magnet,0.4_BSA_PEG_magnet_r2
0.4 BACK/BSA /4 hrs/PXL_20260827_150028939.jpg,0.4,BSA,4.0,2026-08-27 15:00:28.939,3,11.23,0.4 BSA PEG,PEG,True,0.4,False,3,present,large,high,,56,False,0.4,BSA,PEG,False,present,3,False,high,False,11.23,1,False,False,magnet,0.4_BSA_PEG_magnet_r3
0.4 BACK/BSA /4 hrs/PXL_20260827_150054406.jpg,0.4,BSA,4.0,2026-08-27 15:00:54.406,4,25.467,0.4 BSA COOH,COOH,True,0.4,False,1,present,large,high,,57,False,0.4,BSA,COOH,False,present,1,False,high,False,25.467,1,False,False,magnet,0.4_BSA_COOH_magnet_r1
0.4 BACK/BSA /4 hrs/PXL_20260827_150105866.jpg,0.4,BSA,4.0,2026-08-27 15:01:05.866,5,11.46,0.4 BSA COOH,COOH,True,0.4,False,2,present,large,high,,58,False,0.4,BSA,COOH,False,present,2,False,high,False,11.46,1,False,False,magnet,0.4_BSA_COOH_magnet_r2
0.4 BACK/BSA /4 hrs/PXL_20260827_150116480.jpg,0.4,BSA,4.0,2026-08-27 15:01:16.480,6,10.614,0.4 BSA COOH,COOH,True,0.4,False,3,present,large,high,,59,False,0.4,BSA,COOH,False,present,3,False,high,False,10.614,1,False,False,magnet,0.4_BSA_COOH_magnet_r3
0.4 BACK/BSA /4 hrs/PXL_20260827_150811889.jpg,0.4,BSA,4.0,2026-08-27 15:08:11.889,7,415.409,0.4 BSA PEG,PEG,True,0.4,True,1,none,,high,,60,False,0.4,BSA,PEG,True,none,1,False,high,False,415.409,2,False,False,control,0.4_BSA_PEG_control_r1
0.4 BACK/BSA /4 hrs/PXL_20260827_150838625.jpg,0.4,BSA,4.0,2026-08-27 15:08:38.625,8,26.736,0.4 BSA PEG,PEG,True,0.4,True,2,none,,high,,61,False,0.4,BSA,PEG,True,none,2,False,high,False,26.736,2,False,False,control,0.4_BSA_PEG_control_r2
0.4 BACK/BSA /4 hrs/PXL_20260827_150920550.jpg,0.4,BSA,4.0,2026-08-27 15:09:20.550,9,41.925,0.4 BSA PEG,PEG,True,0.4,True,3,none,,high,,62,False,0.4,BSA,PEG,True,none,3,False,high,False,41.925,2,False,False,control,0.4_BSA_PEG_control_r3
0.4 BACK/BSA /4 hrs/PXL_20260827_151033662.jpg,0.4,BSA,4.0,2026-08-27 15:10:33.662,10,73.112,0.4 BSA COOH,COOH,True,0.4,True,1,none,,high,,63,False,0.4,BSA,COOH,True,none,1,False,high,False,73.112,2,False,False,control,0.4_BSA_COOH_control_r1
0.4 BACK/BSA /4 hrs/PXL_20260827_151051580.jpg,0.4,BSA,4.0,2026-08-27 15:10:51.580,11,17.918,0.4 BSA COOH,COOH,True,0.4,True,2,none,,high,,64,False,0.4,BSA,COOH,True,none,2,False,high,False,17.918,2,False,False,control,0.4_BSA_COOH_control_r2
0.4 BACK/BSA /4 hrs/PXL_20260827_151124234.jpg,0.4,BSA,4.0,2026-08-27 15:11:24.234,12,32.654,0.4 BSA COOH,COOH,True,0.4,True,3,none,,high,,65,False,0.4,BSA,COOH,True,none,3,False,high,False,32.654,2,False,False,control,0.4_BSA_COOH_control_r3
0.4 BACK/BSA /5 hrs/PXL_20260827_160008770.jpg,0.4,BSA,5.0,2026-08-27 16:00:08.770,1,,0.4 BSA PEG,PEG,True,0.4,False,1,present,large,high,,66,False,0.4,BSA,PEG,False,present,1,False,high,False,,1,False,False,magnet,0.4_BSA_PEG_magnet_r1
0.4 BACK/BSA /5 hrs/PXL_20260827_160047730.jpg,0.4,BSA,5.0,2026-08-27 16:00:47.730,2,38.96,0.4 BSA PEG,PEG,True,0.4,False,2,present,large,high,,67,False,0.4,BSA,PEG,False,present,2,False,high,False,38.96,1,False,False,magnet,0.4_BSA_PEG_magnet_r2
0.4 BACK/BSA /5 hrs/PXL_20260827_160135824.jpg,0.4,BSA,5.0,2026-08-27 16:01:35.824,3,48.094,0.4 BSA PEG,PEG,True,0.4,False,3,present,large,high,,68,False,0.4,BSA,PEG,False,present,3,False,high,False,48.094,1,False,False,magnet,0.4_BSA_PEG_magnet_r3
0.4 BACK/BSA /5 hrs/PXL_20260827_160210863.jpg,0.4,BSA,5.0,2026-08-27 16:02:10.863,4,35.039,0.4 BSA COOH,COOH,True,0.4,False,1,present,large,high,,69,False,0.4,BSA,COOH,False,present,1,False,high,False,35.039,1,False,False,magnet,0.4_BSA_COOH_magnet_r1
0.4 BACK/BSA /5 hrs/PXL_20260827_160230062.jpg,0.4,BSA,5.0,2026-08-27 16:02:30.062,5,19.199,0.4 BSA COOH,COOH,True,0.4,False,2,present,large,high,,70,False,0.4,BSA,COOH,False,present,2,False,high,False,19.199,1,False,False,magnet,0.4_BSA_COOH_magnet_r2
0.4 BACK/BSA /5 hrs/PXL_20260827_160253514.jpg,0.4,BSA,5.0,2026-08-27 16:02:53.514,6,23.452,0.4 BSA COOH,COOH,True,0.4,False,3,present,large,high,,71,False,0.4,BSA,COOH,False,present,3,False,high,False,23.452,1,False,False,magnet,0.4_BSA_COOH_magnet_r3
0.4 BACK/BSA /5 hrs/PXL_20260827_161220882.jpg,0.4,BSA,5.0,2026-08-27 16:12:20.882,7,567.368,0.4 BSA PEG,PEG,True,0.4,True,1,none,,high,,72,False,0.4,BSA,PEG,True,none,1,False,high,False,567.368,2,False,False,control,0.4_BSA_PEG_control_r1
0.4 BACK/BSA /5 hrs/PXL_20260827_161235718.jpg,0.4,BSA,5.0,2026-08-27 16:12:35.718,8,14.836,0.4 BSA PEG,PEG,True,0.4,True,2,none,,high,,73,False,0.4,BSA,PEG,True,none,2,False,high,False,14.836,2,False,False,control,0.4_BSA_PEG_control_r2
0.4 BACK/BSA /5 hrs/PXL_20260827_161250168.jpg,0.4,BSA,5.0,2026-08-27 16:12:50.168,9,14.45,0.4 BSA PEG,PEG,True,0.4,True,3,none,,high,,74,False,0.4,BSA,PEG,True,none,3,False,high,False,14.45,2,False,False,control,0.4_BSA_PEG_control_r3
0.4 BACK/BSA /5 hrs/PXL_20260827_161439934.jpg,0.4,BSA,5.0,2026-08-27 16:14:39.934,10,109.766,0.4 BSA COOH,COOH,True,0.4,True,3,none,,high,,75,False,0.4,BSA,COOH,True,none,3,False,high,False,109.766,2,False,False,control,0.4_BSA_COOH_control_r3
0.4 BACK/BSA /5 hrs/PXL_20260827_161450929.jpg,0.4,BSA,5.0,2026-08-27 16:14:50.929,11,10.995,0.4 BSA COOH,COOH,True,0.4,True,3,none,,high,near-duplicate framing of 0074,76,False,0.4,BSA,COOH,True,none,2,False,high,True,10.995,2,False,False,control,0.4_BSA_COOH_control_r2
0.4 BACK/BSA /5 hrs/PXL_20260827_161508070.jpg,0.4,BSA,5.0,2026-08-27 16:15:08.070,12,17.141,0.4 BSA COOH,COOH,True,0.4,True,1,none,,high,,77,False,0.4,BSA,COOH,True,none,1,False,high,False,17.141,2,False,False,control,0.4_BSA_COOH_control_r1
0.4 BACK/BSA /6 hrs/PXL_20260827_170007538.jpg,0.4,BSA,6.0,2026-08-27 17:00:07.538,1,,0.4 BSA PEG,PEG,True,0.4,False,1,present,large,high,,78,False,0.4,BSA,PEG,False,present,1,False,high,False,,1,False,False,magnet,0.4_BSA_PEG_magnet_r1
0.4 BACK/BSA /6 hrs/PXL_20260827_170018323.jpg,0.4,BSA,6.0,2026-08-27 17:00:18.323,2,10.785,0.4 BSA PEG,PEG,True,0.4,False,2,present,large,high,,79,False,0.4,BSA,PEG,False,present,2,False,high,False,10.785,1,False,False,magnet,0.4_BSA_PEG_magnet_r2
0.4 BACK/BSA /6 hrs/PXL_20260827_170030841.jpg,0.4,BSA,6.0,2026-08-27 17:00:30.841,3,12.518,0.4 BSA PEG,PEG,True,0.4,False,2,present,large,high,near-duplicate framing of 0078,80,False,0.4,BSA,PEG,False,present,3,False,high,True,12.518,1,False,False,magnet,0.4_BSA_PEG_magnet_r3
0.4 BACK/BSA /6 hrs/PXL_20260827_170107004.jpg,0.4,BSA,6.0,2026-08-27 17:01:07.004,4,36.163,0.4 BSA COOH,COOH,True,0.4,False,1,present,large,high,,81,False,0.4,BSA,COOH,False,present,1,False,high,False,36.163,1,False,False,magnet,0.4_BSA_COOH_magnet_r1
0.4 BACK/BSA /6 hrs/PXL_20260827_170125897.jpg,0.4,BSA,6.0,2026-08-27 17:01:25.897,5,18.893,0.4 BSA COOH,COOH,True,0.4,False,2,present,large,high,,82,False,0.4,BSA,COOH,False,present,2,False,high,False,18.893,1,False,False,magnet,0.4_BSA_COOH_magnet_r2
0.4 BACK/BSA /6 hrs/PXL_20260827_170145687.jpg,0.4,BSA,6.0,2026-08-27 17:01:45.687,6,19.79,0.4 BSA COOH,COOH,True,0.4,False,3,present,large,high,,83,False,0.4,BSA,COOH,False,present,3,False,high,False,19.79,1,False,False,magnet,0.4_BSA_COOH_magnet_r3
0.4 BACK/BSA /6 hrs/PXL_20260827_170935647.jpg,0.4,BSA,6.0,2026-08-27 17:09:35.647,7,469.96,0.4 BSA PEG,PEG,True,0.4,True,1,none,,high,,84,False,0.4,BSA,PEG,True,none,1,False,high,False,469.96,2,False,False,control,0.4_BSA_PEG_control_r1
