path,timepoint_hr,capture_time,shot_order,gap_s,v_sticker,v_coating,v_sample,v_magnet,v_magnet_size,v_conf,v_notes,date,idx,coating,sample,arm,series
0.5 hrs/PXL_20260823_154712965.jpg,0.5,2026-08-23 15:47:12.965,6,50.605,0.4 NO BSA COOH L2,COOH,L2,present,large,high,,2026-08-23,33,COOH,L2,large,COOH_L2
0.5 hrs/PXL_20260823_154749627.jpg,0.5,2026-08-23 15:47:49.627,7,36.662,0.4 NO BSA COOH S1,COOH,S1,present,small,high,,2026-08-23,34,COOH,S1,small,COOH_S1
0.5 hrs/PXL_20260823_154831549.jpg,0.5,2026-08-23 15:48:31.549,8,41.922,0.4 NO BSA COOH S2,COOH,S2,present,small,high,,2026-08-23,35,COOH,S2,small,COOH_S2
0.5 hrs/PXL_20260825_190300770.jpg,0.5,2026-08-25 19:03:00.770,9,184469.221,0.4 NO BSA PEG L3,PEG,L3,present,large,high,,2026-08-25,36,PEG,L3,large,PEG_L3
0.5 hrs/PXL_20260825_190337556.jpg,0.5,2026-08-25 19:03:37.556,10,36.786,0.4 NO BSA PEG S3,PEG,S3,present,small,high,,2026-08-25,37,PEG,S3,small,PEG_S3
0.5 hrs/PXL_20260825_190410124.jpg,0.5,2026-08-25 19:04:10.124,11,32.568,0.4 NO BSA COOH L3,COOH,L3,present,large,high,,2026-08-25,38,COOH,L3,large,COOH_L3
0.5 hrs/PXL_20260825_190446939.jpg,0.5,2026-08-25 19:04:46.939,12,36.815,0.4 NO BSA COOH S3,COOH,S3,present,small,high,,2026-08-25,39,COOH,S3,small,COOH_S3
0.5 hrs/PXL_20260825_190539214.jpg,0.5,2026-08-25 19:05:39.214,13,52.275,0.4 Control NO BSA PEG,PEG,control,none,,high,,2026-08-25,40,PEG,control,control,PEG_control
0.5 hrs/PXL_20260825_190620095.jpg,0.5,2026-08-25 19:06:20.095,14,40.881,0.4 Control NO BSA COOH,COOH,control,none,,high,,2026-08-25,41,COOH,control,control,COOH_control
1 hr/PXL_20260823_161318092.jpg,1.0,2026-08-23 16:13:18.092,1,,0.4 NO BSA PEG L1,PEG,L1,present,large,high,,2026-08-23,42,PEG,L1,large,PEG_L1
1 hr/PXL_20260823_161358210.jpg,1.0,2026-08-23 16:13:58.210,2,40.118,0.4 NO BSA PEG L2,PEG,L2,present,large,high,,2026-08-23,43,PEG,L2,large,PEG_L2
1 hr/PXL_20260823_161438871.jpg,1.0,2026-08-23 16:14:38.871,3,40.661,0.4 NO BSA PEG S1,PEG,S1,present,small,high,,2026-08-23,44,PEG,S1,small,PEG_S1
1 hr/PXL_20260823_161517790.jpg,1.0,2026-08-23 16:15:17.790,4,38.919,0.4 NO BSA PEG S2,PEG,S2,present,small,high,,2026-08-23,45,PEG,S2,small,PEG_S2
1 hr/PXL_20260823_161552157.jpg,1.0,2026-08-23 16:15:52.157,5,34.367,0.4 NO BSA COOH L1,COOH,L1,present,large,high,,2026-08-23,46,COOH,L1,large,COOH_L1
1 hr/PXL_20260823_161627543.jpg,1.0,2026-08-23 16:16:27.543,6,35.386,0.4 NO BSA COOH L2,COOH,L2,present,large,high,,2026-08-23,47,COOH,L2,large,COOH_L2
1 hr/PXL_20260823_161711990.jpg,1.0,2026-08-23 16:17:11.990,7,44.447,0.4 NO BSA COOH S1,COOH,S1,present,small,high,,2026-08-23,48,COOH,S1,small,COOH_S1
1 hr/PXL_20260823_161802562.jpg,1.0,2026-08-23 16:18:02.562,8,50.572,0.4 NO BSA COOH S2,COOH,S2,present,small,high,,2026-08-23,49,COOH,S2,small,COOH_S2
1 hr/PXL_20260825_193228111.jpg,1.0,2026-08-25 19:32:28.111,9,184465.549,0.4 NO BSA PEG L3,PEG,L3,present,large,high,,2026-08-25,50,PEG,L3,large,PEG_L3
1 hr/PXL_20260825_193321981.jpg,1.0,2026-08-25 19:33:21.981,10,53.87,0.4 NO BSA PEG S3,PEG,S3,present,small,high,,2026-08-25,51,PEG,S3,small,PEG_S3
1 hr/PXL_20260825_193408367.jpg,1.0,2026-08-25 19:34:08.367,11,46.386,0.4 NO BSA COOH L3,COOH,L3,present,large,high,,2026-08-25,52,COOH,L3,large,COOH_L3
1 hr/PXL_20260825_193507715.jpg,1.0,2026-08-25 19:35:07.715,12,59.348,0.4 NO BSA COOH S3,COOH,S3,present,small,high,,2026-08-25,53,COOH,S3,small,COOH_S3
1 hr/PXL_20260825_193547231.jpg,1.0,2026-08-25 19:35:47.231,13,39.516,0.4 Control NO BSA PEG,PEG,control,none,,high,,2026-08-25,54,PEG,control,control,PEG_control
1 hr/PXL_20260825_193632913.jpg,1.0,2026-08-25 19:36:32.913,14,45.682,0.4 Control NO BSA COOH,COOH,control,none,,high,,2026-08-25,55,COOH,control,control,COOH_control
1.5 hrs/PXL_20260823_164332023.jpg,1.5,2026-08-23 16:43:32.023,1,,0.4 NO BSA PEG L1,PEG,L1,present,large,high,,2026-08-23,56,PEG,L1,large,PEG_L1
1.5 hrs/PXL_20260823_164410925.jpg,1.5,2026-08-23 16:44:10.925,2,38.902,0.4 NO BSA PEG L2,PEG,L2,present,large,high,,2026-08-23,57,PEG,L2,large,PEG_L2
1.5 hrs/PXL_20260823_164450331.jpg,1.5,2026-08-23 16:44:50.331,3,39.406,0.4 NO BSA PEG S1,PEG,S1,present,small,high,,2026-08-23,58,PEG,S1,small,PEG_S1
1.5 hrs/PXL_20260823_164534097.jpg,1.5,2026-08-23 16:45:34.097,4,43.766,0.4 NO BSA PEG S2,PEG,S2,present,small,high,,2026-08-23,59,PEG,S2,small,PEG_S2
1.5 hrs/PXL_20260823_164614834.jpg,1.5,2026-08-23 16:46:14.834,5,40.737,0.4 NO BSA COOH L1,COOH,L1,present,large,high,,2026-08-23,60,COOH,L1,large,COOH_L1
1.5 hrs/PXL_20260823_164705937.jpg,1.5,2026-08-23 16:47:05.937,6,51.103,0.4 NO BSA COOH L2,COOH,L2,present,large,high,,2026-08-23,61,COOH,L2,large,COOH_L2
1.5 hrs/PXL_20260823_164738020.jpg,1.5,2026-08-23 16:47:38.020,7,32.083,0.4 NO BSA COOH S1,COOH,S1,present,small,high,,2026-08-23,62,COOH,S1,small,COOH_S1
1.5 hrs/PXL_20260823_164811229.jpg,1.5,2026-08-23 16:48:11.229,8,33.209,0.4 NO BSA COOH S2,COOH,S2,present,small,high,,2026-08-23,63,COOH,S2,small,COOH_S2
1.5 hrs/PXL_20260825_200201564.jpg,1.5,2026-08-25 20:02:01.564,9,184430.335,0.4 NO BSA PEG L3,PEG,L3,present,large,high,,2026-08-25,64,PEG,L3,large,PEG_L3
1.5 hrs/PXL_20260825_200300689.jpg,1.5,2026-08-25 20:03:00.689,10,59.125,0.4 NO BSA PEG S3,PEG,S3,present,small,high,,2026-08-25,65,PEG,S3,small,PEG_S3
1.5 hrs/PXL_20260825_200336768.jpg,1.5,2026-08-25 20:03:36.768,11,36.079,0.4 NO BSA COOH L3,COOH,L3,present,large,high,,2026-08-25,66,COOH,L3,large,COOH_L3
1.5 hrs/PXL_20260825_200414652.jpg,1.5,2026-08-25 20:04:14.652,12,37.884,0.4 NO BSA COOH S3,COOH,S3,present,small,high,,2026-08-25,67,COOH,S3,small,COOH_S3
1.5 hrs/PXL_20260825_200519528.jpg,1.5,2026-08-25 20:05:19.528,13,64.876,0.4 Control NO BSA PEG,PEG,control,none,,high,,2026-08-25,68,PEG,control,control,PEG_control
1.5 hrs/PXL_20260825_200554849.jpg,1.5,2026-08-25 20:05:54.849,14,35.321,0.4 Control NO BSA COOH,COOH,control,none,,high,,2026-08-25,69,COOH,control,control,COOH_control
2 hrs/PXL_20260823_171306163.jpg,2.0,2026-08-23 17:13:06.163,1,,0.4 NO BSA PEG L1,PEG,L1,present,large,high,,2026-08-23,70,PEG,L1,large,PEG_L1
2 hrs/PXL_20260823_171349560.jpg,2.0,2026-08-23 17:13:49.560,2,43.397,0.4 NO BSA PEG L2,PEG,L2,present,large,high,,2026-08-23,71,PEG,L2,large,PEG_L2
2 hrs/PXL_20260823_171421987.jpg,2.0,2026-08-23 17:14:21.987,3,32.427,0.4 NO BSA PEG S1,PEG,S1,present,small,high,,2026-08-23,72,PEG,S1,small,PEG_S1
2 hrs/PXL_20260823_171507582.jpg,2.0,2026-08-23 17:15:07.582,4,45.595,0.4 NO BSA PEG S2,PEG,S2,present,small,high,,2026-08-23,73,PEG,S2,small,PEG_S2
2 hrs/PXL_20260823_171553129.jpg,2.0,2026-08-23 17:15:53.129,5,45.547,0.4 NO BSA COOH L1,COOH,L1,present,large,high,,2026-08-23,74,COOH,L1,large,COOH_L1
2 hrs/PXL_20260823_171631281.jpg,2.0,2026-08-23 17:16:31.281,6,38.152,0.4 NO BSA COOH L2,COOH,L2,present,large,high,,2026-08-23,75,COOH,L2,large,COOH_L2
2 hrs/PXL_20260823_171708809.jpg,2.0,2026-08-23 17:17:08.809,7,37.528,0.4 NO BSA COOH S1,COOH,S1,present,small,high,,2026-08-23,76,COOH,S1,small,COOH_S1
2 hrs/PXL_20260823_171758020.jpg,2.0,2026-08-23 17:17:58.020,8,49.211,0.4 NO BSA COOH S2,COOH,S2,present,small,high,,2026-08-23,77,COOH,S2,small,COOH_S2
2 hrs/PXL_20260825_203407620.jpg,2.0,2026-08-25 20:34:07.620,9,184569.6,0.4 NO BSA PEG L3,PEG,L3,present,large,high,,2026-08-25,78,PEG,L3,large,PEG_L3
2 hrs/PXL_20260825_203537898.jpg,2.0,2026-08-25 20:35:37.898,10,90.278,0.4 NO BSA PEG S3,PEG,S3,present,small,high,,2026-08-25,79,PEG,S3,small,PEG_S3
2 hrs/PXL_20260825_203709544.jpg,2.0,2026-08-25 20:37:09.544,11,91.646,0.4 NO BSA COOH L3,COOH,L3,present,large,high,,2026-08-25,80,COOH,L3,large,COOH_L3
2 hrs/PXL_20260825_203834662.jpg,2.0,2026-08-25 20:38:34.662,12,85.118,0.4 NO BSA COOH S3,COOH,S3,present,small,high,,2026-08-25,81,COOH,S3,small,COOH_S3
2 hrs/PXL_20260825_204003392.jpg,2.0,2026-08-25 20:40:03.392,13,88.73,0.4 Control NO BSA PEG,PEG,control,none,,high,,2026-08-25,82,PEG,control,control,PEG_control
2 hrs/PXL_20260825_204100186.jpg,2.0,2026-08-25 20:41:00.186,14,56.794,0.4 Control NO BSA COOH,COOH,control,none,,high,,2026-08-25,83,COOH,control,control,COOH_control
2.5 hrs/PXL_20260823_174334319.jpg,2.5,2026-08-23 17:43:34.319,1,,0.4 NO BSA PEG L1,PEG,L1,present,large,high,,2026-08-23,84,PEG,L1,large,PEG_L1
2.5 hrs/PXL_20260823_174411202.jpg,2.5,2026-08-23 17:44:11.202,2,36.883,0.4 NO BSA PEG L2,PEG,L2,present,large,high,,2026-08-23,85,PEG,L2,large,PEG_L2
2.5 hrs/PXL_20260823_174451400.jpg,2.5,2026-08-23 17:44:51.400,3,40.198,0.4 NO BSA PEG S1,PEG,S1,present,small,high,,2026-08-23,86,PEG,S1,small,PEG_S1
2.5 hrs/PXL_20260823_174536846.jpg,2.5,2026-08-23 17:45:36.846,4,45.446,0.4 NO BSA PEG S2,PEG,S2,present,small,high,,2026-08-23,87,PEG,S2,small,PEG_S2
2.5 hrs/PXL_20260823_174614849.jpg,2.5,2026-08-23 17:46:14.849,5,38.003,0.4 NO BSA COOH L1,COOH,L1,present,large,high,,2026-08-23,88,COOH,L1,large,COOH_L1
2.5 hrs/PXL_20260823_174648816.jpg,2.5,2026-08-23 17:46:48.816,6,33.967,0.4 NO BSA COOH L2,COOH,L2,present,large,high,,2026-08-23,89,COOH,L2,large,COOH_L2
2.5 hrs/PXL_20260823_174734796.jpg,2.5,2026-08-23 17:47:34.796,7,45.98,0.4 NO BSA COOH S1,COOH,S1,present,small,high,,2026-08-23,90,COOH,S1,small,COOH_S1
2.5 hrs/PXL_20260823_174824838.jpg,2.5,2026-08-23 17:48:24.838,8,50.042,0.4 NO BSA COOH S2,COOH,S2,present,small,high,,2026-08-23,91,COOH,S2,small,COOH_S2
2.5 hrs/PXL_20260825_210124330.jpg,2.5,2026-08-25 21:01:24.330,9,184379.492,0.4 NO BSA PEG L3,PEG,L3,present,large,high,,2026-08-25,92,PEG,L3,large,PEG_L3
2.5 hrs/PXL_20260825_210158161.jpg,2.5,2026-08-25 21:01:58.161,10,33.831,0.4 NO BSA PEG S3,PEG,S3,present,small,high,,2026-08-25,93,PEG,S3,small,PEG_S3
2.5 hrs/PXL_20260825_210228982.jpg,2.5,2026-08-25 21:02:28.982,11,30.821,0.4 NO BSA COOH L3,COOH,L3,present,large,high,,2026-08-25,94,COOH,L3,large,COOH_L3
2.5 hrs/PXL_20260825_210317264.jpg,2.5,2026-08-25 21:03:17.264,12,48.282,0.4 NO BSA COOH S3,COOH,S3,present,small,high,,2026-08-25,95,COOH,S3,small,COOH_S3
2.5 hrs/PXL_20260825_210350885.jpg,2.5,2026-08-25 21:03:50.885,13,33.621,0.4 Control NO BSA PEG,PEG,control,none,,high,,2026-08-25,96,PEG,control,control,PEG_control
2.5 hrs/PXL_20260825_210426988.jpg,2.5,2026-08-25 21:04:26.988,14,36.103,0.4 Control NO BSA COOH,COOH,control,none,,high,,2026-08-25,97,COOH,control,control,COOH_control
3 hrs/PXL_20260823_181311181.jpg,3.0,2026-08-23 18:13:11.181,1,,0.4 NO BSA PEG L1,PEG,L1,present,large,high,,2026-08-23,98,PEG,L1,large,PEG_L1
3 hrs/PXL_20260823_181358774.jpg,3.0,2026-08-23 18:13:58.774,2,47.593,0.4 NO BSA PEG L2,PEG,L2,present,large,high,,2026-08-23,99,PEG,L2,large,PEG_L2
3 hrs/PXL_20260823_181435351.jpg,3.0,2026-08-23 18:14:35.351,3,36.577,0.4 NO BSA PEG S1,PEG,S1,present,small,high,,2026-08-23,100,PEG,S1,small,PEG_S1
3 hrs/PXL_20260823_181521250.jpg,3.0,2026-08-23 18:15:21.250,4,45.899,0.4 NO BSA PEG S2,PEG,S2,present,small,high,,2026-08-23,101,PEG,S2,small,PEG_S2
3 hrs/PXL_20260823_181610715.jpg,3.0,2026-08-23 18:16:10.715,5,49.465,0.4 NO BSA COOH L1,COOH,L1,present,large,high,,2026-08-23,102,COOH,L1,large,COOH_L1
3 hrs/PXL_20260823_181702166.jpg,3.0,2026-08-23 18:17:02.166,6,51.451,0.4 NO BSA COOH L2,COOH,L2,present,large,high,,2026-08-23,103,COOH,L2,large,COOH_L2
3 hrs/PXL_20260823_181739773.jpg,3.0,2026-08-23 18:17:39.773,7,37.607,0.4 NO BSA COOH S1,COOH,S1,present,small,high,,2026-08-23,104,COOH,S1,small,COOH_S1
3 hrs/PXL_20260823_181811812.jpg,3.0,2026-08-23 18:18:11.812,8,32.039,0.4 NO BSA COOH S2,COOH,S2,present,small,high,,2026-08-23,105,COOH,S2,small,COOH_S2
3 hrs/PXL_20260825_213050614.jpg,3.0,2026-08-25 21:30:50.614,9,184358.802,0.4 NO BSA PEG L3,PEG,L3,present,large,high,,2026-08-25,106,PEG,L3,large,PEG_L3
3 hrs/PXL_20260825_213144442.jpg,3.0,2026-08-25 21:31:44.442,10,53.828,0.4 NO BSA PEG S3,PEG,S3,present,small,high,,2026-08-25,107,PEG,S3,small,PEG_S3
3 hrs/PXL_20260825_213221181.jpg,3.0,2026-08-25 21:32:21.181,11,36.739,0.4 NO BSA COOH L3,COOH,L3,present,large,high,,2026-08-25,108,COOH,L3,large,COOH_L3
3 hrs/PXL_20260825_213328285.jpg,3.0,2026-08-25 21:33:28.285,12,67.104,0.4 NO BSA COOH S3,COOH,S3,present,small,high,,2026-08-25,109,COOH,S3,small,COOH_S3
3 hrs/PXL_20260825_213355570.jpg,3.0,2026-08-25 21:33:55.570,13,27.285,0.4 Control NO BSA PEG,PEG,control,none,,high,,2026-08-25,110,PEG,control,control,PEG_control
3 hrs/PXL_20260825_213431870.jpg,3.0,2026-08-25 21:34:31.870,14,36.3,0.4 Control NO BSA COOH,COOH,control,none,,high,,2026-08-25,111,COOH,control,control,COOH_control
3.5 hrs/PXL_20260823_184259676.jpg,3.5,2026-08-23 18:42:59.676,1,,0.4 NO BSA PEG L1,PEG,L1,present,large,high,,2026-08-23,112,PEG,L1,large,PEG_L1
3.5 hrs/PXL_20260823_184407442.jpg,3.5,2026-08-23 18:44:07.442,2,67.766,0.4 NO BSA PEG L2,PEG,L2,present,large,high,,2026-08-23,113,PEG,L2,large,PEG_L2
3.5 hrs/PXL_20260823_184445379.jpg,3.5,2026-08-23 18:44:45.379,3,37.937,0.4 NO BSA PEG S1,PEG,S1,present,small,high,,2026-08-23,114,PEG,S1,small,PEG_S1
3.5 hrs/PXL_20260823_184532607.jpg,3.5,2026-08-23 18:45:32.607,4,47.228,0.4 NO BSA PEG S2,PEG,S2,present,small,high,,2026-08-23,115,PEG,S2,small,PEG_S2
3.5 hrs/PXL_20260823_184617190.jpg,3.5,2026-08-23 18:46:17.190,5,44.583,0.4 NO BSA COOH L1,COOH,L1,present,large,high,,2026-08-23,116,COOH,L1,large,COOH_L1
3.5 hrs/PXL_20260823_184655115.jpg,3.5,2026-08-23 18:46:55.115,6,37.925,0.4 NO BSA COOH L2,COOH,L2,present,large,high,,2026-08-23,117,COOH,L2,large,COOH_L2
3.5 hrs/PXL_20260823_184741158.jpg,3.5,2026-08-23 18:47:41.158,7,46.043,0.4 NO BSA COOH S1,COOH,S1,present,small,high,,2026-08-23,118,COOH,S1,small,COOH_S1
3.5 hrs/PXL_20260823_184828427.jpg,3.5,2026-08-23 18:48:28.427,8,47.269,0.4 NO BSA COOH S2,COOH,S2,present,small,high,,2026-08-23,119,COOH,S2,small,COOH_S2
3.5 hrs/PXL_20260825_220423371.jpg,3.5,2026-08-25 22:04:23.371,9,184554.944,0.4 NO BSA PEG L3,PEG,L3,present,large,high,,2026-08-25,120,PEG,L3,large,PEG_L3
3.5 hrs/PXL_20260825_220543899.jpg,3.5,2026-08-25 22:05:43.899,10,80.528,0.4 NO BSA PEG S3,PEG,S3,present,small,high,,2026-08-25,121,PEG,S3,small,PEG_S3
3.5 hrs/PXL_20260825_220707790.jpg,3.5,2026-08-25 22:07:07.790,11,83.891,0.4 NO BSA COOH L3,COOH,L3,present,large,high,,2026-08-25,122,COOH,L3,large,COOH_L3
3.5 hrs/PXL_20260825_220908353.jpg,3.5,2026-08-25 22:09:08.353,12,120.563,0.4 NO BSA COOH S3,COOH,S3,present,small,high,,2026-08-25,123,COOH,S3,small,COOH_S3
3.5 hrs/PXL_20260825_221019426.jpg,3.5,2026-08-25 22:10:19.426,13,71.073,0.4 Control NO BSA PEG,PEG,control,none,,high,,2026-08-25,124,PEG,control,control,PEG_control
3.5 hrs/PXL_20260825_221109664.jpg,3.5,2026-08-25 22:11:09.664,14,50.238,0.4 Control NO BSA COOH,COOH,control,none,,high,,2026-08-25,125,COOH,control,control,COOH_control
4 hrs/PXL_20260823_191313997.jpg,4.0,2026-08-23 19:13:13.997,1,,0.4 NO BSA PEG L1,PEG,L1,present,large,high,rotated 90deg on sticker crop,2026-08-23,126,PEG,L1,large,PEG_L1
4 hrs/PXL_20260823_191409516.jpg,4.0,2026-08-23 19:14:09.516,2,55.519,0.4 NO BSA PEG L2,PEG,L2,present,large,high,rotated 90deg on sticker crop,2026-08-23,127,PEG,L2,large,PEG_L2
4 hrs/PXL_20260823_191447874.jpg,4.0,2026-08-23 19:14:47.874,3,38.358,0.4 NO BSA PEG S1,PEG,S1,present,small,high,rotated 90deg on sticker crop,2026-08-23,128,PEG,S1,small,PEG_S1
4 hrs/PXL_20260823_191521136.jpg,4.0,2026-08-23 19:15:21.136,4,33.262,0.4 NO BSA PEG S2,PEG,S2,present,small,high,rotated 90deg on sticker crop,2026-08-23,129,PEG,S2,small,PEG_S2
4 hrs/PXL_20260823_191603140.jpg,4.0,2026-08-23 19:16:03.140,5,42.004,0.4 NO BSA COOH L1,COOH,L1,present,large,high,rotated 90deg on sticker crop,2026-08-23,130,COOH,L1,large,COOH_L1
