path,geometry,timepoint_hr,capture_time,shot_order,gap_s,v_sticker,v_coating,v_bsa,v_control,v_ctrl_vertical,v_tally,v_magnet,v_conf,v_notes,coating,bsa,control,cond
0.6 CENTER/0.5 hrs/PXL_20260826_153730995.jpg,0.6 CENTER,0.5,2026-08-26 15:37:30.995,1,,PEG 0.6 BSA,PEG,True,False,,1.0,present,high,,PEG,BSA,False,PEG_BSA
0.6 CENTER/0.5 hrs/PXL_20260826_153804515.jpg,0.6 CENTER,0.5,2026-08-26 15:38:04.515,2,33.52,PEG 0.6 BSA,PEG,True,False,,3.0,present,high,,PEG,BSA,False,PEG_BSA
0.6 CENTER/0.5 hrs/PXL_20260826_153836786.jpg,0.6 CENTER,0.5,2026-08-26 15:38:36.786,3,32.271,PEG 0.6 BSA,PEG,True,False,,3.0,present,high,,PEG,BSA,False,PEG_BSA
0.6 CENTER/0.5 hrs/PXL_20260826_153904104.jpg,0.6 CENTER,0.5,2026-08-26 15:39:04.104,4,27.318,COOH 0.6 BSA,COOH,True,False,,2.0,present,high,,COOH,BSA,False,COOH_BSA
0.6 CENTER/0.5 hrs/PXL_20260826_153926775.jpg,0.6 CENTER,0.5,2026-08-26 15:39:26.775,5,22.671,COOH 0.6 BSA,COOH,True,False,,3.0,present,high,,COOH,BSA,False,COOH_BSA
0.6 CENTER/0.5 hrs/PXL_20260826_153946681.jpg,0.6 CENTER,0.5,2026-08-26 15:39:46.681,6,19.906,COOH 0.6 BSA,COOH,True,False,,1.0,present,low,"COOH lettering garbled/doubled strokes, tally mark faint/dashed",COOH,BSA,False,COOH_BSA
0.6 CENTER/0.5 hrs/PXL_20260826_154021800.jpg,0.6 CENTER,0.5,2026-08-26 15:40:21.800,7,35.119,PEG 0.6,PEG,False,False,,2.0,present,high,,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/0.5 hrs/PXL_20260826_154041860.jpg,0.6 CENTER,0.5,2026-08-26 15:40:41.860,8,20.06,PEG 0.6,PEG,False,False,,2.0,present,low,"tally pattern nearly identical to idx0022, possibly a duplicate photo of the same repeat",PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/0.5 hrs/PXL_20260826_154056201.jpg,0.6 CENTER,0.5,2026-08-26 15:40:56.201,9,14.341,PEG 0.6,PEG,False,False,,3.0,present,high,,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/0.5 hrs/PXL_20260826_154126780.jpg,0.6 CENTER,0.5,2026-08-26 15:41:26.780,10,30.579,COOH 0.6,COOH,False,False,,1.0,present,high,,COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/0.5 hrs/PXL_20260826_154151451.jpg,0.6 CENTER,0.5,2026-08-26 15:41:51.451,11,24.671,COOH 0.6,COOH,False,False,,3.0,present,high,,COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/0.5 hrs/PXL_20260826_154228611.jpg,0.6 CENTER,0.5,2026-08-26 15:42:28.611,12,37.16,COOH 0.6,COOH,False,False,,2.0,present,high,,COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/0.5 hrs/PXL_20260826_154451171.jpg,0.6 CENTER,0.5,2026-08-26 15:44:51.171,13,142.56,PEG 0.6 BSA CTRL,PEG,True,True,True,,none,high,,PEG,BSA,True,PEG_BSA
0.6 CENTER/0.5 hrs/PXL_20260826_154509670.jpg,0.6 CENTER,0.5,2026-08-26 15:45:09.670,14,18.499,COOH 0.6 BSA CTRL,COOH,True,True,True,,none,low,"sticker text messy/doubled similar to idx0013, but CTRL clearly vertical",COOH,BSA,True,COOH_BSA
0.6 CENTER/0.5 hrs/PXL_20260826_154529883.jpg,0.6 CENTER,0.5,2026-08-26 15:45:29.883,15,20.213,PEG 0.6 CTRL,PEG,False,True,False,,none,high,,PEG,non-BSA,True,PEG_non-BSA
0.6 CENTER/0.5 hrs/PXL_20260826_154552852.jpg,0.6 CENTER,0.5,2026-08-26 15:45:52.852,16,22.969,COOH 0.6 CTRL,COOH,False,True,False,,none,high,,COOH,non-BSA,True,COOH_non-BSA
0.6 CENTER/1 hr/PXL_20260826_161121250.jpg,0.6 CENTER,1.0,2026-08-26 16:11:21.250,1,,PEG 0.6 BSA,PEG,True,False,,2.0,present,high,,PEG,BSA,False,PEG_BSA
0.6 CENTER/1 hr/PXL_20260826_161155530.jpg,0.6 CENTER,1.0,2026-08-26 16:11:55.530,2,34.28,PEG 0.6 BSA,PEG,True,False,,3.0,present,high,bottom of BSA line slightly cropped in sticker_hi image but legible,PEG,BSA,False,PEG_BSA
0.6 CENTER/1 hr/PXL_20260826_161341772.jpg,0.6 CENTER,1.0,2026-08-26 16:13:41.772,3,106.242,COOH 0.6 BSA,COOH,True,False,,2.0,present,high,,COOH,BSA,False,COOH_BSA
0.6 CENTER/1 hr/PXL_20260826_161416369.jpg,0.6 CENTER,1.0,2026-08-26 16:14:16.369,4,34.597,COOH 0.6 BSA,COOH,True,False,,3.0,present,low,"tally strap marks blurred/motion-smeared, count uncertain (looked like a tight cluster)",COOH,BSA,False,COOH_BSA
0.6 CENTER/1 hr/PXL_20260826_161455744.jpg,0.6 CENTER,1.0,2026-08-26 16:14:55.744,5,39.375,COOH 0.6 BSA,COOH,True,False,,3.0,present,high,,COOH,BSA,False,COOH_BSA
0.6 CENTER/1 hr/PXL_20260826_161543682.jpg,0.6 CENTER,1.0,2026-08-26 16:15:43.682,6,47.938,PEG 0.6,PEG,False,False,,2.0,present,high,,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/1 hr/PXL_20260826_161610922.jpg,0.6 CENTER,1.0,2026-08-26 16:16:10.922,7,27.24,PEG 0.6,PEG,False,False,,2.0,present,high,,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/1 hr/PXL_20260826_161640991.jpg,0.6 CENTER,1.0,2026-08-26 16:16:40.991,8,30.069,PEG 0.6,PEG,False,False,,3.0,present,high,,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/1 hr/PXL_20260826_161718270.jpg,0.6 CENTER,1.0,2026-08-26 16:17:18.270,9,37.279,COOH 0.6,COOH,False,False,,3.0,present,high,,COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/1 hr/PXL_20260826_161751094.jpg,0.6 CENTER,1.0,2026-08-26 16:17:51.094,10,32.824,COOH 0.6,COOH,False,False,,3.0,present,high,,COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/1 hr/PXL_20260826_161826907.jpg,0.6 CENTER,1.0,2026-08-26 16:18:26.907,11,35.813,COOH 0.6,COOH,False,False,,2.0,present,high,,COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/1 hr/PXL_20260826_162235029.jpg,0.6 CENTER,1.0,2026-08-26 16:22:35.029,12,248.122,PEG 0.6 BSA CTRL (vertical),PEG,True,True,True,,none,high,"faint extra horizontal marking below BSA, possibly a second CTRL attempt or smudge; frame/color photo confirms PEG 0.6 BSA + vertical CTRL",PEG,BSA,True,PEG_BSA
0.6 CENTER/1 hr/PXL_20260826_162301845.jpg,0.6 CENTER,1.0,2026-08-26 16:23:01.845,13,26.816,COOH 0.6 BSA CTRL (vertical),COOH,True,True,True,,none,high,"small unexplained squiggle between BSA column and vertical CTRL, doesn't change reading; confirmed via color sticker photo",COOH,BSA,True,COOH_BSA
0.6 CENTER/1 hr/PXL_20260826_162334174.jpg,0.6 CENTER,1.0,2026-08-26 16:23:34.174,14,32.329,PEG 0.6 CTRL,PEG,False,True,False,,none,high,,PEG,non-BSA,True,PEG_non-BSA
0.6 CENTER/1 hr/PXL_20260826_162357799.jpg,0.6 CENTER,1.0,2026-08-26 16:23:57.799,15,23.625,COOH 0.6 CTRL,COOH,False,True,False,,none,high,,COOH,non-BSA,True,COOH_non-BSA
0.6 CENTER/1.5 hrs/PXL_20260826_163733925.jpg,0.6 CENTER,1.5,2026-08-26 16:37:33.925,1,,PEG 0.6 BSA,PEG,True,False,,1.0,present,high,,PEG,BSA,False,PEG_BSA
0.6 CENTER/1.5 hrs/PXL_20260826_163754148.jpg,0.6 CENTER,1.5,2026-08-26 16:37:54.148,2,20.223,PEG 0.6 BSA,PEG,True,False,,3.0,present,high,,PEG,BSA,False,PEG_BSA
0.6 CENTER/1.5 hrs/PXL_20260826_163828049.jpg,0.6 CENTER,1.5,2026-08-26 16:38:28.049,3,33.901,PEG 0.6 BSA,PEG,True,False,,3.0,present,high,,PEG,BSA,False,PEG_BSA
0.6 CENTER/1.5 hrs/PXL_20260826_163848822.jpg,0.6 CENTER,1.5,2026-08-26 16:38:48.822,4,20.773,COOH 0.6 BSA,COOH,True,False,,3.0,present,low,"strap marks appear as a doubled/thick cluster, count of 3 not fully certain",COOH,BSA,False,COOH_BSA
0.6 CENTER/1.5 hrs/PXL_20260826_163910370.jpg,0.6 CENTER,1.5,2026-08-26 16:39:10.370,5,21.548,COOH 0.6 BSA,COOH,True,False,,3.0,present,low,"strap marks tightly clustered in two columns, could be more than 3",COOH,BSA,False,COOH_BSA
0.6 CENTER/1.5 hrs/PXL_20260826_163937630.jpg,0.6 CENTER,1.5,2026-08-26 16:39:37.630,6,27.26,COOH 0.6 BSA,COOH,True,False,,3.0,present,high,,COOH,BSA,False,COOH_BSA
0.6 CENTER/1.5 hrs/PXL_20260826_164001581.jpg,0.6 CENTER,1.5,2026-08-26 16:40:01.581,7,23.951,PEG 0.6,PEG,False,False,,1.0,present,high,,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/1.5 hrs/PXL_20260826_164021421.jpg,0.6 CENTER,1.5,2026-08-26 16:40:21.421,8,19.84,PEG 0.6,PEG,False,False,,3.0,present,high,,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/1.5 hrs/PXL_20260826_164040938.jpg,0.6 CENTER,1.5,2026-08-26 16:40:40.938,9,19.517,PEG 0.6,PEG,False,False,,3.0,present,high,,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/1.5 hrs/PXL_20260826_164103754.jpg,0.6 CENTER,1.5,2026-08-26 16:41:03.754,10,22.816,COOH 0.6,COOH,False,False,,2.0,present,high,,COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/1.5 hrs/PXL_20260826_164134072.jpg,0.6 CENTER,1.5,2026-08-26 16:41:34.072,11,30.318,COOH 0.6,COOH,False,False,,3.0,present,low,"strap marks appear as doubled cluster (2x2), count of 3 not fully certain",COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/1.5 hrs/PXL_20260826_164218694.jpg,0.6 CENTER,1.5,2026-08-26 16:42:18.694,12,44.622,COOH 0.6,COOH,False,False,,3.0,present,high,,COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/1.5 hrs/PXL_20260826_164428849.jpg,0.6 CENTER,1.5,2026-08-26 16:44:28.849,13,130.155,PEG 0.6 BSA CTRL (vertical),PEG,True,True,True,,none,high,second PEG+BSA control sample (replicate of idx 0043),PEG,BSA,True,PEG_BSA
0.6 CENTER/1.5 hrs/PXL_20260826_164505612.jpg,0.6 CENTER,1.5,2026-08-26 16:45:05.612,14,36.763,COOH 0.6 BSA CTRL (vertical),COOH,True,True,True,,none,high,second COOH+BSA control sample (replicate of idx 0044),COOH,BSA,True,COOH_BSA
0.6 CENTER/1.5 hrs/PXL_20260826_164533473.jpg,0.6 CENTER,1.5,2026-08-26 16:45:33.473,15,27.861,PEG 0.6 CTRL,PEG,False,True,False,,none,high,second PEG non-BSA control sample (replicate of idx 0045),PEG,non-BSA,True,PEG_non-BSA
0.6 CENTER/1.5 hrs/PXL_20260826_164603003.jpg,0.6 CENTER,1.5,2026-08-26 16:46:03.003,16,29.53,COOH 0.6 CTRL,COOH,False,True,False,,none,high,second COOH non-BSA control sample (replicate of idx 0046),COOH,non-BSA,True,COOH_non-BSA
0.6 CENTER/2 hrs/PXL_20260826_170716822.jpg,0.6 CENTER,2.0,2026-08-26 17:07:16.822,1,,PEG 0.6 BSA,PEG,True,False,,1.0,present,high,,PEG,BSA,False,PEG_BSA
0.6 CENTER/2 hrs/PXL_20260826_170742026.jpg,0.6 CENTER,2.0,2026-08-26 17:07:42.026,2,25.204,PEG 0.6 BSA,PEG,True,False,,2.0,present,high,,PEG,BSA,False,PEG_BSA
0.6 CENTER/2 hrs/PXL_20260826_170828401.jpg,0.6 CENTER,2.0,2026-08-26 17:08:28.401,3,46.375,PEG 0.6 BSA,PEG,True,False,,3.0,present,low,"strap marks clustered, count of 3 not fully certain",PEG,BSA,False,PEG_BSA
0.6 CENTER/2 hrs/PXL_20260826_170921021.jpg,0.6 CENTER,2.0,2026-08-26 17:09:21.021,4,52.62,COOH 0.6 BSA,COOH,True,False,,1.0,present,high,,COOH,BSA,False,COOH_BSA
0.6 CENTER/2 hrs/PXL_20260826_171000056.jpg,0.6 CENTER,2.0,2026-08-26 17:10:00.056,5,39.035,COOH 0.6 BSA,COOH,True,False,,3.0,present,low,"strap marks appear as doubled cluster (2x2), count of 3 not fully certain",COOH,BSA,False,COOH_BSA
0.6 CENTER/2 hrs/PXL_20260826_171037601.jpg,0.6 CENTER,2.0,2026-08-26 17:10:37.601,6,37.545,COOH 0.6 BSA,COOH,True,False,,3.0,present,high,,COOH,BSA,False,COOH_BSA
0.6 CENTER/2 hrs/PXL_20260826_171112449.jpg,0.6 CENTER,2.0,2026-08-26 17:11:12.449,7,34.848,PEG 0.6,PEG,False,False,,1.0,present,high,,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/2 hrs/PXL_20260826_171148701.jpg,0.6 CENTER,2.0,2026-08-26 17:11:48.701,8,36.252,PEG 0.6,PEG,False,False,,2.0,present,high,,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/2 hrs/PXL_20260826_171215245.jpg,0.6 CENTER,2.0,2026-08-26 17:12:15.245,9,26.544,PEG 0.6,PEG,False,False,,2.0,present,high,,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/2 hrs/PXL_20260826_171250000.jpg,0.6 CENTER,2.0,2026-08-26 17:12:50.000,10,34.755,COOH 0.6,COOH,False,False,,2.0,present,high,,COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/2 hrs/PXL_20260826_171322536.jpg,0.6 CENTER,2.0,2026-08-26 17:13:22.536,11,32.536,COOH 0.6,COOH,False,False,,3.0,present,high,,COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/2 hrs/PXL_20260826_171404200.jpg,0.6 CENTER,2.0,2026-08-26 17:14:04.200,12,41.664,COOH 0.6,COOH,False,False,,3.0,present,high,,COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/2 hrs/PXL_20260826_171926790.jpg,0.6 CENTER,2.0,2026-08-26 17:19:26.790,13,322.59,COOH 0.6 BSA CTRL,COOH,True,True,True,,none,high,"BSA control; CTRL written vertically on right side of sticker, confirmed via color crop and frame (no magnet visible)",COOH,BSA,True,COOH_BSA
0.6 CENTER/2 hrs/PXL_20260826_171957019.jpg,0.6 CENTER,2.0,2026-08-26 17:19:57.019,14,30.229,PEG 0.6 CTRL,PEG,False,True,False,,none,high,"non-BSA control, CTRL horizontal",PEG,non-BSA,True,PEG_non-BSA
0.6 CENTER/2 hrs/PXL_20260826_172018062.jpg,0.6 CENTER,2.0,2026-08-26 17:20:18.062,15,21.043,COOH 0.6 CTRL,COOH,False,True,False,,none,high,"non-BSA control, CTRL horizontal",COOH,non-BSA,True,COOH_non-BSA
0.6 CENTER/2 hrs/PXL_20260826_172337574.jpg,0.6 CENTER,2.0,2026-08-26 17:23:37.574,16,199.512,PEG 0.6 BSA CTRL,PEG,True,True,True,,none,high,BSA control; CTRL written vertically on right side of sticker,PEG,BSA,True,PEG_BSA
0.6 CENTER/2.5 hrs/PXL_20260826_174757278.jpg,0.6 CENTER,2.5,2026-08-26 17:47:57.278,1,,PEG 0.6 BSA,PEG,True,False,,1.0,present,high,,PEG,BSA,False,PEG_BSA
0.6 CENTER/2.5 hrs/PXL_20260826_174902987.jpg,0.6 CENTER,2.5,2026-08-26 17:49:02.987,2,65.709,PEG 0.6 BSA,PEG,True,False,,3.0,present,high,,PEG,BSA,False,PEG_BSA
0.6 CENTER/2.5 hrs/PXL_20260826_174950346.jpg,0.6 CENTER,2.5,2026-08-26 17:49:50.346,3,47.359,PEG 0.6 BSA,PEG,True,False,,3.0,present,high,,PEG,BSA,False,PEG_BSA
0.6 CENTER/2.5 hrs/PXL_20260826_175039786.jpg,0.6 CENTER,2.5,2026-08-26 17:50:39.786,4,49.44,COOH 0.6 BSA,COOH,True,False,,1.0,present,high,,COOH,BSA,False,COOH_BSA
0.6 CENTER/2.5 hrs/PXL_20260826_175123358.jpg,0.6 CENTER,2.5,2026-08-26 17:51:23.358,5,43.572,COOH 0.6 BSA,COOH,True,False,,2.0,present,high,,COOH,BSA,False,COOH_BSA
0.6 CENTER/2.5 hrs/PXL_20260826_175232350.jpg,0.6 CENTER,2.5,2026-08-26 17:52:32.350,6,68.992,COOH 0.6 BSA,COOH,True,False,,3.0,present,high,sticker photographed at an angle but legible,COOH,BSA,False,COOH_BSA
0.6 CENTER/2.5 hrs/PXL_20260826_175251478.jpg,0.6 CENTER,2.5,2026-08-26 17:52:51.478,7,19.128,COOH 0.6 BSA,COOH,True,False,,3.0,present,high,sticker photographed at an angle but legible,COOH,BSA,False,COOH_BSA
0.6 CENTER/2.5 hrs/PXL_20260826_175332943.jpg,0.6 CENTER,2.5,2026-08-26 17:53:32.943,8,41.465,PEG 0.6,PEG,False,False,,1.0,present,high,,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/2.5 hrs/PXL_20260826_175432703.jpg,0.6 CENTER,2.5,2026-08-26 17:54:32.703,9,59.76,PEG 0.6,PEG,False,False,,2.0,present,high,,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/2.5 hrs/PXL_20260826_175515504.jpg,0.6 CENTER,2.5,2026-08-26 17:55:15.504,10,42.801,PEG 0.6,PEG,False,False,,3.0,present,high,,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/2.5 hrs/PXL_20260826_175557361.jpg,0.6 CENTER,2.5,2026-08-26 17:55:57.361,11,41.857,COOH 0.6,COOH,False,False,,1.0,present,high,,COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/2.5 hrs/PXL_20260826_175750917.jpg,0.6 CENTER,2.5,2026-08-26 17:57:50.917,12,113.556,COOH 0.6,COOH,False,False,,3.0,present,high,,COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/2.5 hrs/PXL_20260826_175836441.jpg,0.6 CENTER,2.5,2026-08-26 17:58:36.441,13,45.524,COOH 0.6,COOH,False,False,,3.0,present,high,,COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/2.5 hrs/PXL_20260826_180358557.jpg,0.6 CENTER,2.5,2026-08-26 18:03:58.557,14,322.116,PEG 0.6 BSA CTRL,PEG,True,True,True,,none,high,BSA control; CTRL written vertically on right side of sticker; appears to duplicate sample seen at idx 0078,PEG,BSA,True,PEG_BSA
0.6 CENTER/2.5 hrs/PXL_20260826_180439064.jpg,0.6 CENTER,2.5,2026-08-26 18:04:39.064,15,40.507,COOH 0.6 BSA CTRL,COOH,True,True,True,,none,high,BSA control; CTRL written vertically; appears to duplicate sample seen at idx 0075,COOH,BSA,True,COOH_BSA
0.6 CENTER/2.5 hrs/PXL_20260826_180515007.jpg,0.6 CENTER,2.5,2026-08-26 18:05:15.007,16,35.943,PEG 0.6 CTRL,PEG,False,True,False,,none,high,"non-BSA control, CTRL horizontal; appears to duplicate sample seen at idx 0076",PEG,non-BSA,True,PEG_non-BSA
0.6 CENTER/2.5 hrs/PXL_20260826_180541433.jpg,0.6 CENTER,2.5,2026-08-26 18:05:41.433,17,26.426,COOH 0.6 CTRL,COOH,False,True,False,,none,high,"non-BSA control, CTRL horizontal; appears to duplicate sample seen at idx 0077",COOH,non-BSA,True,COOH_non-BSA
0.6 CENTER/3 hrs/PXL_20260826_181300941.jpg,0.6 CENTER,3.0,2026-08-26 18:13:00.941,1,,PEG 0.6 BSA,PEG,True,False,,1.0,present,high,,PEG,BSA,False,PEG_BSA
0.6 CENTER/3 hrs/PXL_20260826_181326307.jpg,0.6 CENTER,3.0,2026-08-26 18:13:26.307,2,25.366,PEG 0.6 BSA,PEG,True,False,,3.0,present,high,,PEG,BSA,False,PEG_BSA
0.6 CENTER/3 hrs/PXL_20260826_181346650.jpg,0.6 CENTER,3.0,2026-08-26 18:13:46.650,3,20.343,PEG 0.6 BSA,PEG,True,False,,3.0,present,high,,PEG,BSA,False,PEG_BSA
0.6 CENTER/3 hrs/PXL_20260826_181409034.jpg,0.6 CENTER,3.0,2026-08-26 18:14:09.034,4,22.384,COOH 0.6 BSA,COOH,True,False,,1.0,present,high,,COOH,BSA,False,COOH_BSA
0.6 CENTER/3 hrs/PXL_20260826_181431137.jpg,0.6 CENTER,3.0,2026-08-26 18:14:31.137,5,22.103,COOH 0.6 BSA,COOH,True,False,,2.0,present,high,,COOH,BSA,False,COOH_BSA
0.6 CENTER/3 hrs/PXL_20260826_181500160.jpg,0.6 CENTER,3.0,2026-08-26 18:15:00.160,6,29.023,COOH 0.6 BSA,COOH,True,False,,3.0,present,low,sticker_hi crop is significantly blurred; reading is best-effort,COOH,BSA,False,COOH_BSA
0.6 CENTER/3 hrs/PXL_20260826_181525861.jpg,0.6 CENTER,3.0,2026-08-26 18:15:25.861,7,25.701,PEG 0.6,PEG,False,False,,1.0,present,high,,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/3 hrs/PXL_20260826_181544465.jpg,0.6 CENTER,3.0,2026-08-26 18:15:44.465,8,18.604,PEG 0.6,PEG,False,False,,3.0,present,high,,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/3 hrs/PXL_20260826_181631408.jpg,0.6 CENTER,3.0,2026-08-26 18:16:31.408,9,46.943,PEG 0.6,PEG,False,False,,3.0,present,high,,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/3 hrs/PXL_20260826_181722313.jpg,0.6 CENTER,3.0,2026-08-26 18:17:22.313,10,50.905,COOH 0.6,COOH,False,False,,2.0,present,low,trio 0105-0107 tally marks similarly hatched/clustered on the ridged pad; 1 vs 2 vs 3 not reliably distinguishable,COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/3 hrs/PXL_20260826_181746855.jpg,0.6 CENTER,3.0,2026-08-26 18:17:46.855,11,24.542,COOH 0.6,COOH,False,False,,2.0,present,low,"see 0105 note; hatched marks, low confidence",COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/3 hrs/PXL_20260826_181812179.jpg,0.6 CENTER,3.0,2026-08-26 18:18:12.179,12,25.324,COOH 0.6,COOH,False,False,,2.0,present,low,"marks appear on top pad rather than bottom; hatched, low confidence",COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/3 hrs/PXL_20260826_182037197.jpg,0.6 CENTER,3.0,2026-08-26 18:20:37.197,13,145.018,PEG 0.6 BSA CTRL,PEG,True,True,True,,none,high,,PEG,BSA,True,PEG_BSA
0.6 CENTER/3 hrs/PXL_20260826_182109829.jpg,0.6 CENTER,3.0,2026-08-26 18:21:09.829,14,32.632,COOH 0.6 BSA CTRL,COOH,True,True,True,,none,high,confirmed no magnet via frame photo,COOH,BSA,True,COOH_BSA
0.6 CENTER/3 hrs/PXL_20260826_182132801.jpg,0.6 CENTER,3.0,2026-08-26 18:21:32.801,15,22.972,PEG 0.6 CTRL,PEG,False,True,False,,none,high,,PEG,non-BSA,True,PEG_non-BSA
